college02,num_weight,experience02,parentrelations,height_total_inches,sex,married02,cocaine,urbanrural,race,y_arrestedafter2002,nshot_summary_text
"not enrolled, high school degree",135,3,Unknown,67,female,"never married, cohabiting",False,urban,mixed-race,False,"current education status is not enrolled, high school degree, and weight in pounds is 135, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 67, and sex is female, and current marriage status is never married, cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is mixed-race"
"enrolled in grades 1-12, not a high school graduate",130,2,"biological mother, marital status unknown",66,male,"never married, not cohabiting",True,rural,white,True,"current education status is enrolled in grades 1-12, not a high school graduate, and weight in pounds is 130, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 66, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is rural, and race is white"
"not enrolled, no high school degree, no GED",155,2,"biological mother, marital status unknown",74,male,"never married, not cohabiting",False,rural,white,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 155, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 74, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is rural, and race is white"
"not enrolled, GED",162,1,both biological parents,68,male,"never married, not cohabiting",False,rural,white,False,"current education status is not enrolled, GED, and weight in pounds is 162, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 68, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is rural, and race is white"
"not enrolled, high school degree",160,3,"biological mother, marital status unknown",73,male,"never married, not cohabiting",False,urban,white,False,"current education status is not enrolled, high school degree, and weight in pounds is 160, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 73, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is white"
"not enrolled, GED",170,2,"biological mother, marital status unknown",74,male,"never married, cohabiting",True,urban,white,False,"current education status is not enrolled, GED, and weight in pounds is 170, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 74, and sex is male, and current marriage status is never married, cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is urban, and race is white"
"not enrolled, high school degree",162,6,"biological mother, marital status unknown",67,female,"never married, not cohabiting",False,urban,white,False,"current education status is not enrolled, high school degree, and weight in pounds is 162, and number of jobs held in past year is 6, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 67, and sex is female, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is white"
enrolled in a 4-year college,135,3,"biological mother, marital status unknown",68,female,"never married, cohabiting",False,urban,white,False,"current education status is enrolled in a 4-year college, and weight in pounds is 135, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 68, and sex is female, and current marriage status is never married, cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is white"
"not enrolled, no high school degree, no GED",237,3,"biological mother, marital status unknown",73,male,"married, spouse present",False,Unknown,white,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 237, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 73, and sex is male, and current marriage status is married, spouse present, and used cocaine past 3 years is False, and grew up at age 12 in area is Unknown, and race is white"
"not enrolled, GED",157,1,"biological mother, marital status unknown",73,male,"never married, not cohabiting",False,urban,white,True,"current education status is not enrolled, GED, and weight in pounds is 157, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 73, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is white"
enrolled in a 4-year college,130,1,"other adults, biological parent status unknown, not group quarters",65,female,"never married, not cohabiting",False,urban,white,False,"current education status is enrolled in a 4-year college, and weight in pounds is 130, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and height in inches is 65, and sex is female, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is white"
enrolled in a graduate program,162,3,both biological parents,70,female,"never married, cohabiting",True,urban,white,False,"current education status is enrolled in a graduate program, and weight in pounds is 162, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 70, and sex is female, and current marriage status is never married, cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is urban, and race is white"
"not enrolled, high school degree",162,1,"biological mother, marital status unknown",64,female,"never married, not cohabiting",False,urban,white,False,"current education status is not enrolled, high school degree, and weight in pounds is 162, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 64, and sex is female, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is white"
"not enrolled, high school degree",215,2,both biological parents,72,male,"never married, not cohabiting",False,urban,white,False,"current education status is not enrolled, high school degree, and weight in pounds is 215, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 72, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is white"
"not enrolled, GED",155,1,"biological mother, marital status unknown",63,female,"divorced, not cohabiting",True,urban,hispanic,True,"current education status is not enrolled, GED, and weight in pounds is 155, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 63, and sex is female, and current marriage status is divorced, not cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is urban, and race is hispanic"
"not enrolled, high school degree",140,0,"biological mother, marital status unknown",66,female,"never married, not cohabiting",False,urban,hispanic,False,"current education status is not enrolled, high school degree, and weight in pounds is 140, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 66, and sex is female, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is hispanic"
"not enrolled, GED",204,4,"biological mother, marital status unknown",72,male,"never married, cohabiting",True,urban,white,False,"current education status is not enrolled, GED, and weight in pounds is 204, and number of jobs held in past year is 4, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 72, and sex is male, and current marriage status is never married, cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is urban, and race is white"
enrolled in a 4-year college,145,1,both biological parents,68,female,"married, spouse present",True,urban,white,False,"current education status is enrolled in a 4-year college, and weight in pounds is 145, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 68, and sex is female, and current marriage status is married, spouse present, and used cocaine past 3 years is True, and grew up at age 12 in area is urban, and race is white"
"not enrolled, GED",162,2,"biological mother, marital status unknown",73,male,"never married, not cohabiting",False,urban,white,False,"current education status is not enrolled, GED, and weight in pounds is 162, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 73, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is white"
"not enrolled, some college",115,0,"biological dad, marital status unknown",61,female,"married, spouse present",True,urban,white,False,"current education status is not enrolled, some college, and weight in pounds is 115, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and height in inches is 61, and sex is female, and current marriage status is married, spouse present, and used cocaine past 3 years is True, and grew up at age 12 in area is urban, and race is white"
"enrolled in grades 1-12, not a high school graduate",160,1,both biological parents,70,male,"never married, not cohabiting",False,urban,white,True,"current education status is enrolled in grades 1-12, not a high school graduate, and weight in pounds is 160, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 70, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is white"
enrolled in a 4-year college,130,2,"other adults, biological parent status unknown, not group quarters",66,female,"never married, not cohabiting",False,urban,white,True,"current education status is enrolled in a 4-year college, and weight in pounds is 130, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and height in inches is 66, and sex is female, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is white"
"not enrolled, no high school degree, no GED",210,0,both biological parents,73,male,"married, spouse present",False,urban,white,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 210, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 73, and sex is male, and current marriage status is married, spouse present, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is white"
"not enrolled, no high school degree, no GED",160,2,"biological mother, marital status unknown",92,male,"never married, not cohabiting",False,urban,black,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 160, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 92, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is black"
enrolled in a 2-year college,260,2,adoptive parent(s),64,female,"never married, not cohabiting",False,urban,white,False,"current education status is enrolled in a 2-year college, and weight in pounds is 260, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is adoptive parent(s), and height in inches is 64, and sex is female, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is white"
"not enrolled, high school degree",158,3,both biological parents,73,male,"never married, not cohabiting",False,rural,white,False,"current education status is not enrolled, high school degree, and weight in pounds is 158, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 73, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is rural, and race is white"
"not enrolled, no high school degree, no GED",130,2,"biological dad, marital status unknown",64,male,"never married, cohabiting",False,rural,white,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 130, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and height in inches is 64, and sex is male, and current marriage status is never married, cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is rural, and race is white"
"enrolled in grades 1-12, not a high school graduate",145,1,Unknown,71,male,"never married, cohabiting",False,Unknown,white,False,"current education status is enrolled in grades 1-12, not a high school graduate, and weight in pounds is 145, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 71, and sex is male, and current marriage status is never married, cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is Unknown, and race is white"
"not enrolled, high school degree",140,2,both biological parents,59,female,"never married, cohabiting",False,urban,hispanic,False,"current education status is not enrolled, high school degree, and weight in pounds is 140, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 59, and sex is female, and current marriage status is never married, cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is hispanic"
"not enrolled, no high school degree, no GED",135,0,"biological mother, marital status unknown",74,male,"never married, not cohabiting",False,urban,white,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 135, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 74, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is white"
"not enrolled, high school degree",162,1,"biological mother, marital status unknown",65,female,"never married, cohabiting",False,urban,white,False,"current education status is not enrolled, high school degree, and weight in pounds is 162, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 65, and sex is female, and current marriage status is never married, cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is white"
"not enrolled, high school degree",180,4,both biological parents,62,female,"married, spouse present",False,urban,white,False,"current education status is not enrolled, high school degree, and weight in pounds is 180, and number of jobs held in past year is 4, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 62, and sex is female, and current marriage status is married, spouse present, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is white"
enrolled in a 4-year college,210,2,both biological parents,75,male,"never married, not cohabiting",False,urban,white,False,"current education status is enrolled in a 4-year college, and weight in pounds is 210, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 75, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is white"
enrolled in a 4-year college,187,2,both biological parents,73,male,"never married, not cohabiting",False,urban,white,False,"current education status is enrolled in a 4-year college, and weight in pounds is 187, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 73, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is white"
enrolled in a 4-year college,120,4,"biological dad, marital status unknown",64,female,"never married, not cohabiting",True,urban,white,False,"current education status is enrolled in a 4-year college, and weight in pounds is 120, and number of jobs held in past year is 4, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and height in inches is 64, and sex is female, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is urban, and race is white"
"not enrolled, no high school degree, no GED",278,2,"biological dad, marital status unknown",66,male,"never married, not cohabiting",False,urban,hispanic,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 278, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and height in inches is 66, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is hispanic"
"not enrolled, no high school degree, no GED",162,0,"other adults, biological parent status unknown, not group quarters",72,male,"never married, cohabiting",False,urban,black,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 162, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and height in inches is 72, and sex is male, and current marriage status is never married, cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is black"
"not enrolled, no high school degree, no GED",170,0,"biological mother, marital status unknown",74,male,"never married, not cohabiting",True,urban,black,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 170, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 74, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is urban, and race is black"
"not enrolled, high school degree",165,2,"biological dad, marital status unknown",68,male,"never married, not cohabiting",False,urban,hispanic,False,"current education status is not enrolled, high school degree, and weight in pounds is 165, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and height in inches is 68, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is hispanic"
"not enrolled, no high school degree, no GED",187,1,adoptive parent(s),69,male,"never married, cohabiting",False,urban,black,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 187, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is adoptive parent(s), and height in inches is 69, and sex is male, and current marriage status is never married, cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is black"
"not enrolled, no high school degree, no GED",260,1,Unknown,69,male,"never married, cohabiting",False,Unknown,hispanic,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 260, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 69, and sex is male, and current marriage status is never married, cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is Unknown, and race is hispanic"
"enrolled in grades 1-12, not a high school graduate",162,1,Unknown,69,male,"never married, not cohabiting",False,Unknown,white,True,"current education status is enrolled in grades 1-12, not a high school graduate, and weight in pounds is 162, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 69, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is Unknown, and race is white"
enrolled in a 4-year college,108,6,both biological parents,68,female,"never married, not cohabiting",True,urban,white,False,"current education status is enrolled in a 4-year college, and weight in pounds is 108, and number of jobs held in past year is 6, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 68, and sex is female, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is urban, and race is white"
enrolled in a 2-year college,160,2,both biological parents,62,female,"never married, not cohabiting",True,rural,white,False,"current education status is enrolled in a 2-year college, and weight in pounds is 160, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 62, and sex is female, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is rural, and race is white"
"enrolled in grades 1-12, not a high school graduate",212,1,"biological mother, marital status unknown",83,male,"never married, not cohabiting",True,urban,white,False,"current education status is enrolled in grades 1-12, not a high school graduate, and weight in pounds is 212, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 83, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is urban, and race is white"
"not enrolled, GED",110,0,Unknown,65,female,"separated, cohabiting",True,Unknown,white,False,"current education status is not enrolled, GED, and weight in pounds is 110, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 65, and sex is female, and current marriage status is separated, cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is Unknown, and race is white"
"not enrolled, high school degree",190,2,Unknown,62,female,"never married, cohabiting",True,Unknown,mixed-race,False,"current education status is not enrolled, high school degree, and weight in pounds is 190, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 62, and sex is female, and current marriage status is never married, cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is Unknown, and race is mixed-race"
"not enrolled, no high school degree, no GED",145,1,"biological dad, marital status unknown",69,male,"never married, cohabiting",False,rural,white,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 145, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and height in inches is 69, and sex is male, and current marriage status is never married, cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is rural, and race is white"
"not enrolled, no high school degree, no GED",195,5,both biological parents,73,male,"never married, cohabiting",False,rural,white,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 195, and number of jobs held in past year is 5, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 73, and sex is male, and current marriage status is never married, cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is rural, and race is white"
"not enrolled, high school degree",140,2,"biological mother, marital status unknown",72,male,"never married, not cohabiting",True,urban,white,True,"current education status is not enrolled, high school degree, and weight in pounds is 140, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 72, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is urban, and race is white"
"not enrolled, GED",144,4,"biological mother, marital status unknown",68,male,"never married, not cohabiting",False,urban,white,False,"current education status is not enrolled, GED, and weight in pounds is 144, and number of jobs held in past year is 4, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 68, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is white"
enrolled in a 4-year college,128,1,Unknown,65,female,"never married, not cohabiting",True,Unknown,white,False,"current education status is enrolled in a 4-year college, and weight in pounds is 128, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 65, and sex is female, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is Unknown, and race is white"
"not enrolled, no high school degree, no GED",190,4,both biological parents,74,male,"never married, not cohabiting",True,urban,white,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 190, and number of jobs held in past year is 4, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 74, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is urban, and race is white"
"not enrolled, some college",165,1,"biological mother, other parent present",68,female,"married, spouse present",False,urban,white,False,"current education status is not enrolled, some college, and weight in pounds is 165, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and height in inches is 68, and sex is female, and current marriage status is married, spouse present, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is white"
"not enrolled, high school degree",155,2,"biological mother, marital status unknown",70,male,"never married, not cohabiting",False,urban,black,True,"current education status is not enrolled, high school degree, and weight in pounds is 155, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 70, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is black"
"not enrolled, no high school degree, no GED",180,1,"biological mother, marital status unknown",75,male,"never married, not cohabiting",False,Unknown,black,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 180, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 75, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is Unknown, and race is black"
"not enrolled, some college",130,1,"biological mother, marital status unknown",65,female,"never married, not cohabiting",True,rural,black,False,"current education status is not enrolled, some college, and weight in pounds is 130, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 65, and sex is female, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is rural, and race is black"
"not enrolled, GED",137,2,"biological mother, other parent present",68,female,"never married, cohabiting",False,rural,white,True,"current education status is not enrolled, GED, and weight in pounds is 137, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and height in inches is 68, and sex is female, and current marriage status is never married, cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is rural, and race is white"
"not enrolled, high school degree",187,2,"biological mother, marital status unknown",63,female,"never married, not cohabiting",False,rural,white,False,"current education status is not enrolled, high school degree, and weight in pounds is 187, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 63, and sex is female, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is rural, and race is white"
"not enrolled, GED",230,1,"other adults, biological parent status unknown, not group quarters",69,male,"never married, not cohabiting",False,rural,white,True,"current education status is not enrolled, GED, and weight in pounds is 230, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and height in inches is 69, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is rural, and race is white"
"not enrolled, some college",205,0,"biological mother, marital status unknown",73,male,"never married, not cohabiting",True,urban,black,False,"current education status is not enrolled, some college, and weight in pounds is 205, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 73, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is urban, and race is black"
enrolled in a 4-year college,155,1,Unknown,70,male,"never married, not cohabiting",True,Unknown,white,True,"current education status is enrolled in a 4-year college, and weight in pounds is 155, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 70, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is True, and grew up at age 12 in area is Unknown, and race is white"
"enrolled in grades 1-12, not a high school graduate",260,0,both biological parents,72,male,"never married, not cohabiting",False,urban,white,False,"current education status is enrolled in grades 1-12, not a high school graduate, and weight in pounds is 260, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 72, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is white"
"not enrolled, high school degree",145,2,"biological mother, marital status unknown",71,male,"never married, not cohabiting",False,urban,white,True,"current education status is not enrolled, high school degree, and weight in pounds is 145, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 71, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is white"
"not enrolled, no high school degree, no GED",190,1,"biological dad, marital status unknown",75,male,"never married, not cohabiting",False,rural,white,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 190, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and height in inches is 75, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is rural, and race is white"
"not enrolled, no high school degree, no GED",180,3,"biological dad, marital status unknown",70,male,"never married, not cohabiting",False,rural,white,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 180, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and height in inches is 70, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is rural, and race is white"
"not enrolled, high school degree",160,3,"biological mother, marital status unknown",74,male,"never married, not cohabiting",False,urban,white,True,"current education status is not enrolled, high school degree, and weight in pounds is 160, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 74, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is white"
enrolled in a 4-year college,165,3,both biological parents,72,male,"never married, not cohabiting",False,Unknown,black,False,"current education status is enrolled in a 4-year college, and weight in pounds is 165, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 72, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is Unknown, and race is black"
"not enrolled, some college",151,3,"other adults, biological parent status unknown, not group quarters",70,male,"never married, not cohabiting",False,rural,black,False,"current education status is not enrolled, some college, and weight in pounds is 151, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and height in inches is 70, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is rural, and race is black"
"not enrolled, some college",325,4,both biological parents,71,male,"never married, not cohabiting",False,urban,black,False,"current education status is not enrolled, some college, and weight in pounds is 325, and number of jobs held in past year is 4, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 71, and sex is male, and current marriage status is never married, not cohabiting, and used cocaine past 3 years is False, and grew up at age 12 in area is urban, and race is black"
