parentrelations,college02,married02,race,depression,marijuana_anydrug,homelessness,sex,urbanrural,faminjail,numberofarrestsby2002,godhasnothingtodo,experience02,hhsize97,cocaine,victim,foodstamp,num_weight,height_total_inches,age,askgod,convictedby2002,y_arrestedafter2002,nshot_summary_text
"biological mother, marital status unknown",enrolled in a 2-year college,"married, spouse present",white,some of the time,marijuana_anydrug,False,female,urban,False,1,False,2,4,False,False,False,230,67,22,True,True,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is enrolled in a 2-year college, and current marriage status is married, spouse present, and race is white, and monthly frequency of severe depression is some of the time, and used any drug except cocaine past 3 years is marijuana_anydrug, and homeless for 2 or more nights in past 5 years is False, and sex is female, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of previous arrests is 1, and believes God has nothing to do with me is False, and number of jobs held in past year is 2, and household size  as teen is 4, and used cocaine past 3 years is False, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 230, and height in inches is 67, and age is 22, and often asks God for help is True, and number of previous convictions is True"
Unknown,"not enrolled, GED","never married, not cohabiting",white,none of the time,marijuana_anydrug,False,male,Unknown,False,1,False,3,4,True,True,False,186,69,21,True,False,True,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, GED, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is none of the time, and used any drug except cocaine past 3 years is marijuana_anydrug, and homeless for 2 or more nights in past 5 years is False, and sex is male, and grew up at age 12 in area is Unknown, and other adult family member in jail past 5 years is False, and number of previous arrests is 1, and believes God has nothing to do with me is False, and number of jobs held in past year is 3, and household size  as teen is 4, and used cocaine past 3 years is True, and victim of violent crime past 5 years is True, and used food stamps in past year is False, and weight in pounds is 186, and height in inches is 69, and age is 21, and often asks God for help is True, and number of previous convictions is False"
Unknown,"not enrolled, no high school degree, no GED","never married, not cohabiting",white,all of the time,marijuana_anydrug,False,female,Unknown,False,10,True,0,6,True,False,False,110,61,20,True,True,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, no high school degree, no GED, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is all of the time, and used any drug except cocaine past 3 years is marijuana_anydrug, and homeless for 2 or more nights in past 5 years is False, and sex is female, and grew up at age 12 in area is Unknown, and other adult family member in jail past 5 years is False, and number of previous arrests is 10, and believes God has nothing to do with me is True, and number of jobs held in past year is 0, and household size  as teen is 6, and used cocaine past 3 years is True, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 110, and height in inches is 61, and age is 20, and often asks God for help is True, and number of previous convictions is True"
"biological mother, marital status unknown","enrolled in grades 1-12, not a high school graduate","never married, not cohabiting",white,none of the time,marijuana_anydrug,False,female,urban,False,4,False,4,6,False,False,False,120,63,18,True,True,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is enrolled in grades 1-12, not a high school graduate, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is none of the time, and used any drug except cocaine past 3 years is marijuana_anydrug, and homeless for 2 or more nights in past 5 years is False, and sex is female, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of previous arrests is 4, and believes God has nothing to do with me is False, and number of jobs held in past year is 4, and household size  as teen is 6, and used cocaine past 3 years is False, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 120, and height in inches is 63, and age is 18, and often asks God for help is True, and number of previous convictions is True"
Unknown,"not enrolled, no high school degree, no GED","never married, not cohabiting",white,none of the time,marijuana_anydrug,False,male,Unknown,False,2,False,1,5,True,False,False,230,65,21,False,True,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, no high school degree, no GED, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is none of the time, and used any drug except cocaine past 3 years is marijuana_anydrug, and homeless for 2 or more nights in past 5 years is False, and sex is male, and grew up at age 12 in area is Unknown, and other adult family member in jail past 5 years is False, and number of previous arrests is 2, and believes God has nothing to do with me is False, and number of jobs held in past year is 1, and household size  as teen is 5, and used cocaine past 3 years is True, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 230, and height in inches is 65, and age is 21, and often asks God for help is False, and number of previous convictions is True"
"biological mother, marital status unknown","not enrolled, GED","never married, cohabiting",white,some of the time,marijuana_anydrug,False,female,urban,False,1,False,2,4,True,False,False,105,62,21,True,False,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, GED, and current marriage status is never married, cohabiting, and race is white, and monthly frequency of severe depression is some of the time, and used any drug except cocaine past 3 years is marijuana_anydrug, and homeless for 2 or more nights in past 5 years is False, and sex is female, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of previous arrests is 1, and believes God has nothing to do with me is False, and number of jobs held in past year is 2, and household size  as teen is 4, and used cocaine past 3 years is True, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 105, and height in inches is 62, and age is 21, and often asks God for help is True, and number of previous convictions is False"
Unknown,"not enrolled, high school degree","never married, not cohabiting",asian or pacific islander,none of the time,marijuana_anydrug,False,male,Unknown,False,1,False,1,8,True,False,False,137,64,20,False,False,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, high school degree, and current marriage status is never married, not cohabiting, and race is asian or pacific islander, and monthly frequency of severe depression is none of the time, and used any drug except cocaine past 3 years is marijuana_anydrug, and homeless for 2 or more nights in past 5 years is False, and sex is male, and grew up at age 12 in area is Unknown, and other adult family member in jail past 5 years is False, and number of previous arrests is 1, and believes God has nothing to do with me is False, and number of jobs held in past year is 1, and household size  as teen is 8, and used cocaine past 3 years is True, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 137, and height in inches is 64, and age is 20, and often asks God for help is False, and number of previous convictions is False"
both biological parents,enrolled in a 4-year college,"never married, not cohabiting",white,none of the time,marijuana_anydrug,False,male,urban,False,2,True,2,4,False,True,False,162,69,21,False,True,True,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is enrolled in a 4-year college, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is none of the time, and used any drug except cocaine past 3 years is marijuana_anydrug, and homeless for 2 or more nights in past 5 years is False, and sex is male, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of previous arrests is 2, and believes God has nothing to do with me is True, and number of jobs held in past year is 2, and household size  as teen is 4, and used cocaine past 3 years is False, and victim of violent crime past 5 years is True, and used food stamps in past year is False, and weight in pounds is 162, and height in inches is 69, and age is 21, and often asks God for help is False, and number of previous convictions is True"
"biological mother, marital status unknown","not enrolled, no high school degree, no GED","never married, not cohabiting",white,some of the time,marijuana_anydrug,False,male,urban,False,2,True,1,6,False,False,False,190,73,19,False,True,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, no high school degree, no GED, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is some of the time, and used any drug except cocaine past 3 years is marijuana_anydrug, and homeless for 2 or more nights in past 5 years is False, and sex is male, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of previous arrests is 2, and believes God has nothing to do with me is True, and number of jobs held in past year is 1, and household size  as teen is 6, and used cocaine past 3 years is False, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 190, and height in inches is 73, and age is 19, and often asks God for help is False, and number of previous convictions is True"
both biological parents,"not enrolled, high school degree","never married, not cohabiting",white,some of the time,,False,male,urban,False,3,True,2,4,False,False,False,170,72,22,True,True,True,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, high school degree, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is some of the time, and used any drug except cocaine past 3 years is nan, and homeless for 2 or more nights in past 5 years is False, and sex is male, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of previous arrests is 3, and believes God has nothing to do with me is True, and number of jobs held in past year is 2, and household size  as teen is 4, and used cocaine past 3 years is False, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 170, and height in inches is 72, and age is 22, and often asks God for help is True, and number of previous convictions is True"
"biological mother, marital status unknown","not enrolled, no high school degree, no GED","never married, cohabiting",white,none of the time,,False,female,Unknown,False,2,True,1,6,False,False,False,195,64,19,False,True,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, no high school degree, no GED, and current marriage status is never married, cohabiting, and race is white, and monthly frequency of severe depression is none of the time, and used any drug except cocaine past 3 years is nan, and homeless for 2 or more nights in past 5 years is False, and sex is female, and grew up at age 12 in area is Unknown, and other adult family member in jail past 5 years is False, and number of previous arrests is 2, and believes God has nothing to do with me is True, and number of jobs held in past year is 1, and household size  as teen is 6, and used cocaine past 3 years is False, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 195, and height in inches is 64, and age is 19, and often asks God for help is False, and number of previous convictions is True"
"biological father, other parent present","not enrolled, no high school degree, no GED","never married, not cohabiting",white,some of the time,marijuana_anydrug,False,male,Unknown,False,2,False,2,4,True,True,False,155,65,22,True,True,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological father, other parent present, and current education status is not enrolled, no high school degree, no GED, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is some of the time, and used any drug except cocaine past 3 years is marijuana_anydrug, and homeless for 2 or more nights in past 5 years is False, and sex is male, and grew up at age 12 in area is Unknown, and other adult family member in jail past 5 years is False, and number of previous arrests is 2, and believes God has nothing to do with me is False, and number of jobs held in past year is 2, and household size  as teen is 4, and used cocaine past 3 years is True, and victim of violent crime past 5 years is True, and used food stamps in past year is False, and weight in pounds is 155, and height in inches is 65, and age is 22, and often asks God for help is True, and number of previous convictions is True"
"biological mother, other parent present","not enrolled, no high school degree, no GED","never married, cohabiting",white,none of the time,marijuana_anydrug,False,female,urban,True,4,False,2,3,True,False,False,110,64,19,True,False,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and current education status is not enrolled, no high school degree, no GED, and current marriage status is never married, cohabiting, and race is white, and monthly frequency of severe depression is none of the time, and used any drug except cocaine past 3 years is marijuana_anydrug, and homeless for 2 or more nights in past 5 years is False, and sex is female, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is True, and number of previous arrests is 4, and believes God has nothing to do with me is False, and number of jobs held in past year is 2, and household size  as teen is 3, and used cocaine past 3 years is True, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 110, and height in inches is 64, and age is 19, and often asks God for help is True, and number of previous convictions is False"
both biological parents,"not enrolled, no high school degree, no GED","never married, not cohabiting",white,none of the time,marijuana_anydrug,False,male,urban,False,1,True,2,5,False,False,False,160,68,18,True,False,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, no high school degree, no GED, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is none of the time, and used any drug except cocaine past 3 years is marijuana_anydrug, and homeless for 2 or more nights in past 5 years is False, and sex is male, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of previous arrests is 1, and believes God has nothing to do with me is True, and number of jobs held in past year is 2, and household size  as teen is 5, and used cocaine past 3 years is False, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 160, and height in inches is 68, and age is 18, and often asks God for help is True, and number of previous convictions is False"
"biological mother, marital status unknown","not enrolled, no high school degree, no GED","married, spouse absent",white,none of the time,marijuana_anydrug,False,female,Unknown,False,1,True,1,5,True,False,False,120,64,20,True,False,True,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, no high school degree, no GED, and current marriage status is married, spouse absent, and race is white, and monthly frequency of severe depression is none of the time, and used any drug except cocaine past 3 years is marijuana_anydrug, and homeless for 2 or more nights in past 5 years is False, and sex is female, and grew up at age 12 in area is Unknown, and other adult family member in jail past 5 years is False, and number of previous arrests is 1, and believes God has nothing to do with me is True, and number of jobs held in past year is 1, and household size  as teen is 5, and used cocaine past 3 years is True, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 120, and height in inches is 64, and age is 20, and often asks God for help is True, and number of previous convictions is False"
"biological mother, marital status unknown","not enrolled, high school degree","never married, cohabiting",white,none of the time,marijuana_anydrug,False,male,urban,False,2,False,2,3,True,False,False,250,72,20,False,False,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, high school degree, and current marriage status is never married, cohabiting, and race is white, and monthly frequency of severe depression is none of the time, and used any drug except cocaine past 3 years is marijuana_anydrug, and homeless for 2 or more nights in past 5 years is False, and sex is male, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of previous arrests is 2, and believes God has nothing to do with me is False, and number of jobs held in past year is 2, and household size  as teen is 3, and used cocaine past 3 years is True, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 250, and height in inches is 72, and age is 20, and often asks God for help is False, and number of previous convictions is False"
both biological parents,"not enrolled, high school degree","never married, not cohabiting",white,some of the time,marijuana_anydrug,False,male,urban,False,2,False,2,4,True,False,False,162,66,19,True,True,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, high school degree, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is some of the time, and used any drug except cocaine past 3 years is marijuana_anydrug, and homeless for 2 or more nights in past 5 years is False, and sex is male, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of previous arrests is 2, and believes God has nothing to do with me is False, and number of jobs held in past year is 2, and household size  as teen is 4, and used cocaine past 3 years is True, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 162, and height in inches is 66, and age is 19, and often asks God for help is True, and number of previous convictions is True"
"biological mother, marital status unknown","not enrolled, no high school degree, no GED","never married, cohabiting",white,none of the time,,False,male,urban,False,4,True,2,5,False,False,False,160,73,22,True,True,True,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, no high school degree, no GED, and current marriage status is never married, cohabiting, and race is white, and monthly frequency of severe depression is none of the time, and used any drug except cocaine past 3 years is nan, and homeless for 2 or more nights in past 5 years is False, and sex is male, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of previous arrests is 4, and believes God has nothing to do with me is True, and number of jobs held in past year is 2, and household size  as teen is 5, and used cocaine past 3 years is False, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 160, and height in inches is 73, and age is 22, and often asks God for help is True, and number of previous convictions is True"
Unknown,"not enrolled, GED","divorced, cohabiting",white,most of the time,,False,female,Unknown,False,1,True,1,3,False,True,False,160,69,22,False,False,True,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, GED, and current marriage status is divorced, cohabiting, and race is white, and monthly frequency of severe depression is most of the time, and used any drug except cocaine past 3 years is nan, and homeless for 2 or more nights in past 5 years is False, and sex is female, and grew up at age 12 in area is Unknown, and other adult family member in jail past 5 years is False, and number of previous arrests is 1, and believes God has nothing to do with me is True, and number of jobs held in past year is 1, and household size  as teen is 3, and used cocaine past 3 years is False, and victim of violent crime past 5 years is True, and used food stamps in past year is False, and weight in pounds is 160, and height in inches is 69, and age is 22, and often asks God for help is False, and number of previous convictions is False"
"biological mother, marital status unknown","not enrolled, GED","never married, not cohabiting",white,some of the time,marijuana_anydrug,False,male,rural,False,1,False,4,7,False,False,False,185,72,20,True,False,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, GED, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is some of the time, and used any drug except cocaine past 3 years is marijuana_anydrug, and homeless for 2 or more nights in past 5 years is False, and sex is male, and grew up at age 12 in area is rural, and other adult family member in jail past 5 years is False, and number of previous arrests is 1, and believes God has nothing to do with me is False, and number of jobs held in past year is 4, and household size  as teen is 7, and used cocaine past 3 years is False, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 185, and height in inches is 72, and age is 20, and often asks God for help is True, and number of previous convictions is False"
Unknown,"not enrolled, GED","never married, not cohabiting",white,none of the time,marijuana_anydrug,False,male,Unknown,False,1,False,1,4,True,False,False,162,70,18,True,True,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, GED, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is none of the time, and used any drug except cocaine past 3 years is marijuana_anydrug, and homeless for 2 or more nights in past 5 years is False, and sex is male, and grew up at age 12 in area is Unknown, and other adult family member in jail past 5 years is False, and number of previous arrests is 1, and believes God has nothing to do with me is False, and number of jobs held in past year is 1, and household size  as teen is 4, and used cocaine past 3 years is True, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 162, and height in inches is 70, and age is 18, and often asks God for help is True, and number of previous convictions is True"
"biological mother, marital status unknown","not enrolled, no high school degree, no GED","never married, not cohabiting",white,none of the time,marijuana_anydrug,False,male,urban,False,1,False,0,3,False,False,False,154,68,18,True,True,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, no high school degree, no GED, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is none of the time, and used any drug except cocaine past 3 years is marijuana_anydrug, and homeless for 2 or more nights in past 5 years is False, and sex is male, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of previous arrests is 1, and believes God has nothing to do with me is False, and number of jobs held in past year is 0, and household size  as teen is 3, and used cocaine past 3 years is False, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 154, and height in inches is 68, and age is 18, and often asks God for help is True, and number of previous convictions is True"
"biological mother, marital status unknown","not enrolled, GED","never married, not cohabiting",white,none of the time,,False,male,urban,True,2,True,0,6,False,False,False,187,72,21,False,True,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, GED, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is none of the time, and used any drug except cocaine past 3 years is nan, and homeless for 2 or more nights in past 5 years is False, and sex is male, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is True, and number of previous arrests is 2, and believes God has nothing to do with me is True, and number of jobs held in past year is 0, and household size  as teen is 6, and used cocaine past 3 years is False, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 187, and height in inches is 72, and age is 21, and often asks God for help is False, and number of previous convictions is True"
"biological mother, marital status unknown","not enrolled, no high school degree, no GED","never married, not cohabiting",black,none of the time,,False,male,urban,True,9,False,0,14,False,False,False,180,73,19,False,True,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, no high school degree, no GED, and current marriage status is never married, not cohabiting, and race is black, and monthly frequency of severe depression is none of the time, and used any drug except cocaine past 3 years is nan, and homeless for 2 or more nights in past 5 years is False, and sex is male, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is True, and number of previous arrests is 9, and believes God has nothing to do with me is False, and number of jobs held in past year is 0, and household size  as teen is 14, and used cocaine past 3 years is False, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 180, and height in inches is 73, and age is 19, and often asks God for help is False, and number of previous convictions is True"
both biological parents,"not enrolled, some college","never married, not cohabiting",white,some of the time,,False,male,urban,False,1,True,3,4,False,True,False,187,69,20,False,True,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, some college, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is some of the time, and used any drug except cocaine past 3 years is nan, and homeless for 2 or more nights in past 5 years is False, and sex is male, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of previous arrests is 1, and believes God has nothing to do with me is True, and number of jobs held in past year is 3, and household size  as teen is 4, and used cocaine past 3 years is False, and victim of violent crime past 5 years is True, and used food stamps in past year is False, and weight in pounds is 187, and height in inches is 69, and age is 20, and often asks God for help is False, and number of previous convictions is True"
"biological mother, marital status unknown","not enrolled, GED","never married, not cohabiting",white,none of the time,marijuana_anydrug,False,male,urban,False,4,False,4,5,True,False,True,165,71,21,True,True,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, GED, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is none of the time, and used any drug except cocaine past 3 years is marijuana_anydrug, and homeless for 2 or more nights in past 5 years is False, and sex is male, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of previous arrests is 4, and believes God has nothing to do with me is False, and number of jobs held in past year is 4, and household size  as teen is 5, and used cocaine past 3 years is True, and victim of violent crime past 5 years is False, and used food stamps in past year is True, and weight in pounds is 165, and height in inches is 71, and age is 21, and often asks God for help is True, and number of previous convictions is True"
"biological mother, marital status unknown",enrolled in a 2-year college,"never married, not cohabiting",white,none of the time,marijuana_anydrug,False,male,rural,False,1,True,1,4,False,False,False,250,70,19,False,True,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is enrolled in a 2-year college, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is none of the time, and used any drug except cocaine past 3 years is marijuana_anydrug, and homeless for 2 or more nights in past 5 years is False, and sex is male, and grew up at age 12 in area is rural, and other adult family member in jail past 5 years is False, and number of previous arrests is 1, and believes God has nothing to do with me is True, and number of jobs held in past year is 1, and household size  as teen is 4, and used cocaine past 3 years is False, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 250, and height in inches is 70, and age is 19, and often asks God for help is False, and number of previous convictions is True"
both biological parents,"not enrolled, some college","never married, not cohabiting",white,none of the time,,False,male,rural,False,1,True,2,4,False,False,False,212,72,20,False,True,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, some college, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is none of the time, and used any drug except cocaine past 3 years is nan, and homeless for 2 or more nights in past 5 years is False, and sex is male, and grew up at age 12 in area is rural, and other adult family member in jail past 5 years is False, and number of previous arrests is 1, and believes God has nothing to do with me is True, and number of jobs held in past year is 2, and household size  as teen is 4, and used cocaine past 3 years is False, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 212, and height in inches is 72, and age is 20, and often asks God for help is False, and number of previous convictions is True"
Unknown,"not enrolled, high school degree","never married, not cohabiting",white,none of the time,marijuana_anydrug,False,male,Unknown,False,1,True,3,5,False,False,False,135,69,20,False,True,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, high school degree, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is none of the time, and used any drug except cocaine past 3 years is marijuana_anydrug, and homeless for 2 or more nights in past 5 years is False, and sex is male, and grew up at age 12 in area is Unknown, and other adult family member in jail past 5 years is False, and number of previous arrests is 1, and believes God has nothing to do with me is True, and number of jobs held in past year is 3, and household size  as teen is 5, and used cocaine past 3 years is False, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 135, and height in inches is 69, and age is 20, and often asks God for help is False, and number of previous convictions is True"
both biological parents,"not enrolled, high school degree","married, spouse present",white,none of the time,,False,male,Unknown,False,1,False,3,7,False,False,False,145,73,21,True,False,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, high school degree, and current marriage status is married, spouse present, and race is white, and monthly frequency of severe depression is none of the time, and used any drug except cocaine past 3 years is nan, and homeless for 2 or more nights in past 5 years is False, and sex is male, and grew up at age 12 in area is Unknown, and other adult family member in jail past 5 years is False, and number of previous arrests is 1, and believes God has nothing to do with me is False, and number of jobs held in past year is 3, and household size  as teen is 7, and used cocaine past 3 years is False, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 145, and height in inches is 73, and age is 21, and often asks God for help is True, and number of previous convictions is False"
"biological mother, marital status unknown","enrolled in grades 1-12, not a high school graduate","never married, not cohabiting",black,some of the time,marijuana_anydrug,False,male,urban,False,1,False,5,6,False,False,False,180,73,20,False,True,True,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is enrolled in grades 1-12, not a high school graduate, and current marriage status is never married, not cohabiting, and race is black, and monthly frequency of severe depression is some of the time, and used any drug except cocaine past 3 years is marijuana_anydrug, and homeless for 2 or more nights in past 5 years is False, and sex is male, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of previous arrests is 1, and believes God has nothing to do with me is False, and number of jobs held in past year is 5, and household size  as teen is 6, and used cocaine past 3 years is False, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 180, and height in inches is 73, and age is 20, and often asks God for help is False, and number of previous convictions is True"
"biological dad, marital status unknown","not enrolled, GED","never married, cohabiting",white,some of the time,marijuana_anydrug,False,male,urban,False,2,True,2,5,True,True,True,210,82,22,False,False,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and current education status is not enrolled, GED, and current marriage status is never married, cohabiting, and race is white, and monthly frequency of severe depression is some of the time, and used any drug except cocaine past 3 years is marijuana_anydrug, and homeless for 2 or more nights in past 5 years is False, and sex is male, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of previous arrests is 2, and believes God has nothing to do with me is True, and number of jobs held in past year is 2, and household size  as teen is 5, and used cocaine past 3 years is True, and victim of violent crime past 5 years is True, and used food stamps in past year is True, and weight in pounds is 210, and height in inches is 82, and age is 22, and often asks God for help is False, and number of previous convictions is False"
Unknown,"not enrolled, high school degree","never married, cohabiting",mixed-race,some of the time,,False,female,urban,False,1,False,3,6,False,False,True,135,67,19,True,False,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, high school degree, and current marriage status is never married, cohabiting, and race is mixed-race, and monthly frequency of severe depression is some of the time, and used any drug except cocaine past 3 years is nan, and homeless for 2 or more nights in past 5 years is False, and sex is female, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of previous arrests is 1, and believes God has nothing to do with me is False, and number of jobs held in past year is 3, and household size  as teen is 6, and used cocaine past 3 years is False, and victim of violent crime past 5 years is False, and used food stamps in past year is True, and weight in pounds is 135, and height in inches is 67, and age is 19, and often asks God for help is True, and number of previous convictions is False"
"biological mother, marital status unknown","enrolled in grades 1-12, not a high school graduate","never married, not cohabiting",white,none of the time,marijuana_anydrug,False,male,rural,False,1,True,2,6,True,False,False,130,66,18,False,False,True,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is enrolled in grades 1-12, not a high school graduate, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is none of the time, and used any drug except cocaine past 3 years is marijuana_anydrug, and homeless for 2 or more nights in past 5 years is False, and sex is male, and grew up at age 12 in area is rural, and other adult family member in jail past 5 years is False, and number of previous arrests is 1, and believes God has nothing to do with me is True, and number of jobs held in past year is 2, and household size  as teen is 6, and used cocaine past 3 years is True, and victim of violent crime past 5 years is False, and used food stamps in past year is False, and weight in pounds is 130, and height in inches is 66, and age is 18, and often asks God for help is False, and number of previous convictions is False"
