college02,parentrelations,married02,urbanrural,faminjail,experience02,homelessness,askgod,sex,foodstamp,y_arrestedafter2002,nshot_summary_text
"not enrolled, no high school degree, no GED","biological mother, marital status unknown","married, spouse present",urban,False,1,True,True,female,False,False,"current education status is not enrolled, no high school degree, no GED, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current marriage status is married, spouse present, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 1, and homeless for 2 or more nights in past 5 years is True, and often asks God for help is True, and sex is female, and used food stamps in past year is False"
"not enrolled, high school degree","biological mother, marital status unknown","never married, not cohabiting",urban,False,0,False,True,male,False,False,"current education status is not enrolled, high school degree, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 0, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is male, and used food stamps in past year is False"
"enrolled in grades 1-12, not a high school graduate","biological mother, marital status unknown","never married, not cohabiting",urban,False,0,False,True,male,False,True,"current education status is enrolled in grades 1-12, not a high school graduate, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 0, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is male, and used food stamps in past year is False"
"not enrolled, no high school degree, no GED","biological mother, marital status unknown","never married, not cohabiting",urban,False,2,False,True,male,False,False,"current education status is not enrolled, no high school degree, no GED, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 2, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is male, and used food stamps in past year is False"
enrolled in a 4-year college,"biological dad, marital status unknown","never married, not cohabiting",urban,False,1,False,False,female,False,False,"current education status is enrolled in a 4-year college, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 1, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is False, and sex is female, and used food stamps in past year is False"
"not enrolled, high school degree","biological mother, marital status unknown","never married, cohabiting",Unknown,True,1,False,True,female,False,False,"current education status is not enrolled, high school degree, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current marriage status is never married, cohabiting, and grew up at age 12 in area is Unknown, and other adult family member in jail past 5 years is True, and number of jobs held in past year is 1, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is female, and used food stamps in past year is False"
"enrolled in grades 1-12, not a high school graduate","biological mother, marital status unknown","never married, not cohabiting",urban,False,0,False,False,female,False,False,"current education status is enrolled in grades 1-12, not a high school graduate, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 0, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is False, and sex is female, and used food stamps in past year is False"
"not enrolled, high school degree",Unknown,"never married, not cohabiting",Unknown,False,1,False,True,male,False,False,"current education status is not enrolled, high school degree, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is Unknown, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 1, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is male, and used food stamps in past year is False"
"not enrolled, GED","biological mother, marital status unknown","married, spouse absent",urban,True,1,True,True,female,True,False,"current education status is not enrolled, GED, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current marriage status is married, spouse absent, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is True, and number of jobs held in past year is 1, and homeless for 2 or more nights in past 5 years is True, and often asks God for help is True, and sex is female, and used food stamps in past year is True"
"not enrolled, no high school degree, no GED","biological mother, other parent present","never married, not cohabiting",urban,False,2,False,False,male,False,True,"current education status is not enrolled, no high school degree, no GED, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 2, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is False, and sex is male, and used food stamps in past year is False"
"not enrolled, high school degree",both biological parents,"never married, not cohabiting",urban,False,0,False,True,male,False,False,"current education status is not enrolled, high school degree, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 0, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is male, and used food stamps in past year is False"
"not enrolled, high school degree",both biological parents,"never married, cohabiting",urban,False,1,False,False,male,False,True,"current education status is not enrolled, high school degree, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current marriage status is never married, cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 1, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is False, and sex is male, and used food stamps in past year is False"
enrolled in a 4-year college,both biological parents,"never married, not cohabiting",urban,False,1,False,True,male,False,True,"current education status is enrolled in a 4-year college, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 1, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is male, and used food stamps in past year is False"
"not enrolled, some college",adoptive parent(s),"never married, not cohabiting",urban,False,1,False,False,female,False,False,"current education status is not enrolled, some college, and relationship at age 12 with parent figure(s) or guardian(s) is adoptive parent(s), and current marriage status is never married, not cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 1, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is False, and sex is female, and used food stamps in past year is False"
"not enrolled, high school degree",both biological parents,"married, spouse present",urban,False,0,False,False,male,False,False,"current education status is not enrolled, high school degree, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current marriage status is married, spouse present, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 0, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is False, and sex is male, and used food stamps in past year is False"
"not enrolled, some college","biological mother, marital status unknown","never married, cohabiting",urban,False,3,False,True,male,False,True,"current education status is not enrolled, some college, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current marriage status is never married, cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 3, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is male, and used food stamps in past year is False"
"enrolled in grades 1-12, not a high school graduate","biological mother, marital status unknown","never married, not cohabiting",urban,False,2,False,True,male,False,False,"current education status is enrolled in grades 1-12, not a high school graduate, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 2, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is male, and used food stamps in past year is False"
"not enrolled, high school degree","biological mother, marital status unknown","never married, not cohabiting",urban,True,3,False,True,female,False,False,"current education status is not enrolled, high school degree, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is True, and number of jobs held in past year is 3, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is female, and used food stamps in past year is False"
"not enrolled, no high school degree, no GED","biological mother, marital status unknown","never married, not cohabiting",urban,True,3,False,True,male,False,False,"current education status is not enrolled, no high school degree, no GED, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is True, and number of jobs held in past year is 3, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is male, and used food stamps in past year is False"
"not enrolled, no high school degree, no GED","biological mother, marital status unknown","never married, not cohabiting",urban,False,0,True,True,female,False,False,"current education status is not enrolled, no high school degree, no GED, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 0, and homeless for 2 or more nights in past 5 years is True, and often asks God for help is True, and sex is female, and used food stamps in past year is False"
"not enrolled, some college",both biological parents,"married, spouse present",urban,False,1,False,False,male,True,True,"current education status is not enrolled, some college, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current marriage status is married, spouse present, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 1, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is False, and sex is male, and used food stamps in past year is True"
"not enrolled, high school degree","biological mother, marital status unknown","never married, not cohabiting",Unknown,False,0,False,False,male,False,True,"current education status is not enrolled, high school degree, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is Unknown, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 0, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is False, and sex is male, and used food stamps in past year is False"
enrolled in a 2-year college,"biological mother, marital status unknown","never married, cohabiting",urban,False,1,False,True,male,False,True,"current education status is enrolled in a 2-year college, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current marriage status is never married, cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 1, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is male, and used food stamps in past year is False"
enrolled in a 4-year college,both biological parents,"never married, not cohabiting",Unknown,False,1,False,False,male,False,True,"current education status is enrolled in a 4-year college, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is Unknown, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 1, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is False, and sex is male, and used food stamps in past year is False"
"not enrolled, some college",both biological parents,"never married, not cohabiting",Unknown,False,2,False,True,male,False,False,"current education status is not enrolled, some college, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is Unknown, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 2, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is male, and used food stamps in past year is False"
"not enrolled, some college",both biological parents,"never married, cohabiting",Unknown,False,2,False,False,male,False,True,"current education status is not enrolled, some college, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current marriage status is never married, cohabiting, and grew up at age 12 in area is Unknown, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 2, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is False, and sex is male, and used food stamps in past year is False"
"not enrolled, no high school degree, no GED",Unknown,"never married, cohabiting",Unknown,False,3,False,True,female,False,False,"current education status is not enrolled, no high school degree, no GED, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current marriage status is never married, cohabiting, and grew up at age 12 in area is Unknown, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 3, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is female, and used food stamps in past year is False"
"not enrolled, no high school degree, no GED","biological mother, marital status unknown","never married, not cohabiting",urban,False,1,True,True,female,True,False,"current education status is not enrolled, no high school degree, no GED, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 1, and homeless for 2 or more nights in past 5 years is True, and often asks God for help is True, and sex is female, and used food stamps in past year is True"
"enrolled in grades 1-12, not a high school graduate","biological mother, marital status unknown","never married, not cohabiting",urban,False,1,False,False,female,False,False,"current education status is enrolled in grades 1-12, not a high school graduate, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 1, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is False, and sex is female, and used food stamps in past year is False"
enrolled in a 2-year college,Unknown,"never married, not cohabiting",Unknown,False,1,True,True,male,False,True,"current education status is enrolled in a 2-year college, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is Unknown, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 1, and homeless for 2 or more nights in past 5 years is True, and often asks God for help is True, and sex is male, and used food stamps in past year is False"
"not enrolled, 4-year college graduate",both biological parents,"never married, not cohabiting",urban,False,1,False,False,male,False,False,"current education status is not enrolled, 4-year college graduate, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 1, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is False, and sex is male, and used food stamps in past year is False"
"not enrolled, no high school degree, no GED","biological mother, marital status unknown","never married, cohabiting",urban,False,2,False,True,male,False,True,"current education status is not enrolled, no high school degree, no GED, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current marriage status is never married, cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 2, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is male, and used food stamps in past year is False"
"not enrolled, no high school degree, no GED",Unknown,"never married, cohabiting",Unknown,False,5,False,False,female,False,False,"current education status is not enrolled, no high school degree, no GED, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current marriage status is never married, cohabiting, and grew up at age 12 in area is Unknown, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 5, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is False, and sex is female, and used food stamps in past year is False"
"enrolled in grades 1-12, not a high school graduate","biological mother, marital status unknown","never married, not cohabiting",urban,False,5,True,False,female,False,True,"current education status is enrolled in grades 1-12, not a high school graduate, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 5, and homeless for 2 or more nights in past 5 years is True, and often asks God for help is False, and sex is female, and used food stamps in past year is False"
"not enrolled, some college",both biological parents,"never married, not cohabiting",urban,False,3,False,False,male,False,False,"current education status is not enrolled, some college, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 3, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is False, and sex is male, and used food stamps in past year is False"
"not enrolled, no high school degree, no GED","other adults, biological parent status unknown, not group quarters","never married, cohabiting",urban,False,1,False,True,male,False,True,"current education status is not enrolled, no high school degree, no GED, and relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and current marriage status is never married, cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 1, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is male, and used food stamps in past year is False"
"not enrolled, high school degree","biological mother, marital status unknown","never married, cohabiting",urban,False,2,False,True,female,False,False,"current education status is not enrolled, high school degree, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current marriage status is never married, cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 2, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is female, and used food stamps in past year is False"
"not enrolled, some college",both biological parents,"never married, not cohabiting",urban,False,2,False,True,male,False,False,"current education status is not enrolled, some college, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 2, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is male, and used food stamps in past year is False"
"not enrolled, GED","biological dad, marital status unknown","never married, not cohabiting",Unknown,False,0,False,True,male,False,False,"current education status is not enrolled, GED, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is Unknown, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 0, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is male, and used food stamps in past year is False"
"not enrolled, high school degree","biological mother, marital status unknown","never married, cohabiting",urban,False,2,False,False,female,False,False,"current education status is not enrolled, high school degree, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current marriage status is never married, cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 2, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is False, and sex is female, and used food stamps in past year is False"
"not enrolled, some college",Unknown,"never married, cohabiting",Unknown,False,3,False,False,female,False,False,"current education status is not enrolled, some college, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current marriage status is never married, cohabiting, and grew up at age 12 in area is Unknown, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 3, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is False, and sex is female, and used food stamps in past year is False"
"not enrolled, no high school degree, no GED","biological mother, marital status unknown","never married, not cohabiting",urban,False,0,False,False,female,False,True,"current education status is not enrolled, no high school degree, no GED, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 0, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is False, and sex is female, and used food stamps in past year is False"
enrolled in a 4-year college,"biological mother, marital status unknown","never married, not cohabiting",urban,False,1,False,True,female,False,True,"current education status is enrolled in a 4-year college, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 1, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is female, and used food stamps in past year is False"
"not enrolled, no high school degree, no GED",Unknown,"never married, not cohabiting",Unknown,False,1,False,False,male,False,True,"current education status is not enrolled, no high school degree, no GED, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is Unknown, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 1, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is False, and sex is male, and used food stamps in past year is False"
enrolled in a 4-year college,both biological parents,"never married, not cohabiting",urban,False,3,False,False,male,False,True,"current education status is enrolled in a 4-year college, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 3, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is False, and sex is male, and used food stamps in past year is False"
enrolled in a 4-year college,both biological parents,"never married, not cohabiting",urban,True,5,False,False,male,False,False,"current education status is enrolled in a 4-year college, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is True, and number of jobs held in past year is 5, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is False, and sex is male, and used food stamps in past year is False"
"not enrolled, some college","biological mother, marital status unknown","never married, not cohabiting",urban,False,2,False,True,male,False,False,"current education status is not enrolled, some college, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 2, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is male, and used food stamps in past year is False"
"not enrolled, no high school degree, no GED","biological mother, marital status unknown","never married, not cohabiting",urban,False,2,False,True,male,False,True,"current education status is not enrolled, no high school degree, no GED, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 2, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is male, and used food stamps in past year is False"
enrolled in a 4-year college,"biological mother, marital status unknown","never married, not cohabiting",urban,False,2,False,False,male,False,False,"current education status is enrolled in a 4-year college, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 2, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is False, and sex is male, and used food stamps in past year is False"
enrolled in a 4-year college,both biological parents,"never married, not cohabiting",urban,False,0,False,True,male,False,False,"current education status is enrolled in a 4-year college, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 0, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is male, and used food stamps in past year is False"
"not enrolled, no high school degree, no GED",Unknown,"never married, not cohabiting",Unknown,False,1,False,True,male,False,False,"current education status is not enrolled, no high school degree, no GED, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is Unknown, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 1, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is male, and used food stamps in past year is False"
"not enrolled, GED","biological mother, marital status unknown","never married, cohabiting",Unknown,False,0,False,True,male,False,False,"current education status is not enrolled, GED, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current marriage status is never married, cohabiting, and grew up at age 12 in area is Unknown, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 0, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is male, and used food stamps in past year is False"
"enrolled in grades 1-12, not a high school graduate",Unknown,"never married, not cohabiting",Unknown,False,3,False,True,male,False,False,"current education status is enrolled in grades 1-12, not a high school graduate, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is Unknown, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 3, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is male, and used food stamps in past year is False"
"not enrolled, no high school degree, no GED","biological mother, marital status unknown","never married, not cohabiting",Unknown,False,2,False,True,male,False,False,"current education status is not enrolled, no high school degree, no GED, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is Unknown, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 2, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is male, and used food stamps in past year is False"
"not enrolled, no high school degree, no GED",Unknown,"never married, not cohabiting",Unknown,False,0,False,False,male,False,False,"current education status is not enrolled, no high school degree, no GED, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is Unknown, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 0, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is False, and sex is male, and used food stamps in past year is False"
enrolled in a 4-year college,both biological parents,"never married, not cohabiting",urban,True,1,False,False,male,False,False,"current education status is enrolled in a 4-year college, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is True, and number of jobs held in past year is 1, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is False, and sex is male, and used food stamps in past year is False"
"not enrolled, GED",both biological parents,"never married, not cohabiting",rural,False,3,False,False,male,False,True,"current education status is not enrolled, GED, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is rural, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 3, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is False, and sex is male, and used food stamps in past year is False"
"not enrolled, no high school degree, no GED","biological mother, marital status unknown","married, spouse present",urban,True,0,False,True,female,True,True,"current education status is not enrolled, no high school degree, no GED, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current marriage status is married, spouse present, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is True, and number of jobs held in past year is 0, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is female, and used food stamps in past year is True"
"not enrolled, no high school degree, no GED","biological mother, marital status unknown","never married, cohabiting",rural,False,0,False,True,female,False,False,"current education status is not enrolled, no high school degree, no GED, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current marriage status is never married, cohabiting, and grew up at age 12 in area is rural, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 0, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is female, and used food stamps in past year is False"
"not enrolled, no high school degree, no GED","biological mother, marital status unknown","never married, cohabiting",urban,False,2,True,True,male,False,False,"current education status is not enrolled, no high school degree, no GED, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current marriage status is never married, cohabiting, and grew up at age 12 in area is urban, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 2, and homeless for 2 or more nights in past 5 years is True, and often asks God for help is True, and sex is male, and used food stamps in past year is False"
"not enrolled, high school degree",Unknown,"never married, cohabiting",Unknown,False,3,False,True,male,False,False,"current education status is not enrolled, high school degree, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current marriage status is never married, cohabiting, and grew up at age 12 in area is Unknown, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 3, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is male, and used food stamps in past year is False"
"not enrolled, no high school degree, no GED","biological mother, marital status unknown","never married, cohabiting",Unknown,False,1,False,True,male,False,False,"current education status is not enrolled, no high school degree, no GED, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current marriage status is never married, cohabiting, and grew up at age 12 in area is Unknown, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 1, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is male, and used food stamps in past year is False"
"not enrolled, no high school degree, no GED","biological mother, marital status unknown","never married, not cohabiting",Unknown,False,2,False,True,male,False,True,"current education status is not enrolled, no high school degree, no GED, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is Unknown, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 2, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is male, and used food stamps in past year is False"
"not enrolled, no high school degree, no GED",Unknown,"never married, not cohabiting",Unknown,False,1,False,True,male,False,True,"current education status is not enrolled, no high school degree, no GED, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current marriage status is never married, not cohabiting, and grew up at age 12 in area is Unknown, and other adult family member in jail past 5 years is False, and number of jobs held in past year is 1, and homeless for 2 or more nights in past 5 years is False, and often asks God for help is True, and sex is male, and used food stamps in past year is False"
