parentrelations,college02,urbanrural,married02,race,y_arrestedafter2002,nshot_summary_text
"biological mother, marital status unknown","not enrolled, GED",urban,"never married, not cohabiting",black,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, GED, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is black"
"biological mother, marital status unknown",enrolled in a 4-year college,Unknown,"never married, not cohabiting",black,True,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is enrolled in a 4-year college, and grew up at age 12 in area is Unknown, and current marriage status is never married, not cohabiting, and race is black"
both biological parents,"not enrolled, high school degree",Unknown,"never married, cohabiting",hispanic,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, high school degree, and grew up at age 12 in area is Unknown, and current marriage status is never married, cohabiting, and race is hispanic"
both biological parents,"not enrolled, no high school degree, no GED",Unknown,"never married, not cohabiting",hispanic,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, no high school degree, no GED, and grew up at age 12 in area is Unknown, and current marriage status is never married, not cohabiting, and race is hispanic"
"biological mother, marital status unknown","not enrolled, high school degree",urban,"never married, not cohabiting",black,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, high school degree, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is black"
"biological mother, marital status unknown","not enrolled, no high school degree, no GED",urban,"never married, not cohabiting",white,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, no high school degree, no GED, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is white"
"biological mother, marital status unknown","not enrolled, no high school degree, no GED",urban,"never married, cohabiting",white,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, no high school degree, no GED, and grew up at age 12 in area is urban, and current marriage status is never married, cohabiting, and race is white"
"biological mother, marital status unknown",enrolled in a 4-year college,urban,"never married, not cohabiting",mixed-race,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is enrolled in a 4-year college, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is mixed-race"
both biological parents,"not enrolled, 4-year college graduate",urban,"never married, not cohabiting",white,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, 4-year college graduate, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is white"
"biological mother, other parent present","not enrolled, no high school degree, no GED",rural,"never married, not cohabiting",white,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and current education status is not enrolled, no high school degree, no GED, and grew up at age 12 in area is rural, and current marriage status is never married, not cohabiting, and race is white"
both biological parents,enrolled in a 4-year college,urban,"never married, not cohabiting",white,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is enrolled in a 4-year college, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is white"
Unknown,"not enrolled, some college",Unknown,"never married, not cohabiting",white,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, some college, and grew up at age 12 in area is Unknown, and current marriage status is never married, not cohabiting, and race is white"
both biological parents,enrolled in a 2-year college,urban,"never married, not cohabiting",white,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is enrolled in a 2-year college, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is white"
both biological parents,"not enrolled, GED",urban,"never married, not cohabiting",white,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, GED, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is white"
both biological parents,"not enrolled, high school degree",urban,"never married, not cohabiting",white,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, high school degree, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is white"
"biological mother, marital status unknown","not enrolled, high school degree",urban,"never married, not cohabiting",hispanic,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, high school degree, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is hispanic"
"biological mother, marital status unknown","not enrolled, high school degree",urban,"never married, not cohabiting",hispanic,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, high school degree, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is hispanic"
"biological mother, marital status unknown","not enrolled, GED",urban,"divorced, not cohabiting",white,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, GED, and grew up at age 12 in area is urban, and current marriage status is divorced, not cohabiting, and race is white"
"biological mother, marital status unknown","not enrolled, some college",urban,"never married, cohabiting",white,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, some college, and grew up at age 12 in area is urban, and current marriage status is never married, cohabiting, and race is white"
"biological mother, marital status unknown","not enrolled, high school degree",urban,"never married, not cohabiting",black,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, high school degree, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is black"
"biological mother, marital status unknown",enrolled in a 4-year college,Unknown,"never married, not cohabiting",black,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is enrolled in a 4-year college, and grew up at age 12 in area is Unknown, and current marriage status is never married, not cohabiting, and race is black"
"biological mother, marital status unknown","not enrolled, no high school degree, no GED",urban,"never married, not cohabiting",black,True,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, no high school degree, no GED, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is black"
"biological mother, marital status unknown","not enrolled, no high school degree, no GED",urban,"never married, cohabiting",black,True,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, no high school degree, no GED, and grew up at age 12 in area is urban, and current marriage status is never married, cohabiting, and race is black"
"biological mother, other parent present","not enrolled, some college",urban,"never married, cohabiting",black,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and current education status is not enrolled, some college, and grew up at age 12 in area is urban, and current marriage status is never married, cohabiting, and race is black"
both biological parents,"enrolled in grades 1-12, not a high school graduate",urban,"never married, not cohabiting",white,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is enrolled in grades 1-12, not a high school graduate, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is white"
both biological parents,enrolled in a 4-year college,urban,"never married, not cohabiting",white,True,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is enrolled in a 4-year college, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is white"
group quarters,"enrolled in grades 1-12, not a high school graduate",urban,"never married, not cohabiting",white,True,"relationship at age 12 with parent figure(s) or guardian(s) is group quarters, and current education status is enrolled in grades 1-12, not a high school graduate, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is white"
both biological parents,"not enrolled, some college",urban,"married, spouse present",white,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, some college, and grew up at age 12 in area is urban, and current marriage status is married, spouse present, and race is white"
Unknown,"not enrolled, some college",Unknown,"never married, not cohabiting",white,True,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, some college, and grew up at age 12 in area is Unknown, and current marriage status is never married, not cohabiting, and race is white"
both biological parents,enrolled in a 4-year college,urban,"never married, not cohabiting",white,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is enrolled in a 4-year college, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is white"
"biological mother, marital status unknown","not enrolled, no high school degree, no GED",urban,"never married, not cohabiting",white,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, no high school degree, no GED, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is white"
both biological parents,"not enrolled, some college",urban,"never married, not cohabiting",white,True,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, some college, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is white"
"biological mother, marital status unknown",enrolled in a 4-year college,Unknown,"never married, not cohabiting",white,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is enrolled in a 4-year college, and grew up at age 12 in area is Unknown, and current marriage status is never married, not cohabiting, and race is white"
"biological mother, other parent present","not enrolled, high school degree",urban,"never married, not cohabiting",white,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and current education status is not enrolled, high school degree, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is white"
both biological parents,"not enrolled, some college",urban,"never married, not cohabiting",white,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, some college, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is white"
both biological parents,"not enrolled, some college",urban,"separated, not cohabiting",white,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, some college, and grew up at age 12 in area is urban, and current marriage status is separated, not cohabiting, and race is white"
both biological parents,enrolled in a 2-year college,urban,"never married, not cohabiting",white,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is enrolled in a 2-year college, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is white"
"other adults, biological parent status unknown, not group quarters","not enrolled, no high school degree, no GED",urban,"never married, not cohabiting",hispanic,False,"relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and current education status is not enrolled, no high school degree, no GED, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is hispanic"
Unknown,"not enrolled, no high school degree, no GED",Unknown,"never married, cohabiting",hispanic,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, no high school degree, no GED, and grew up at age 12 in area is Unknown, and current marriage status is never married, cohabiting, and race is hispanic"
both biological parents,"not enrolled, GED",urban,"never married, not cohabiting",white,True,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, GED, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is white"
"biological mother, marital status unknown","not enrolled, no high school degree, no GED",urban,"married, spouse present",white,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, no high school degree, no GED, and grew up at age 12 in area is urban, and current marriage status is married, spouse present, and race is white"
"biological mother, marital status unknown","not enrolled, high school degree",urban,"never married, not cohabiting",black,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, high school degree, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is black"
"biological mother, marital status unknown","enrolled in grades 1-12, not a high school graduate",urban,"never married, not cohabiting",black,True,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is enrolled in grades 1-12, not a high school graduate, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is black"
"biological mother, marital status unknown","not enrolled, no high school degree, no GED",urban,"never married, not cohabiting",black,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, no high school degree, no GED, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is black"
"biological dad, marital status unknown",enrolled in a 4-year college,urban,"never married, not cohabiting",white,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and current education status is enrolled in a 4-year college, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is white"
"biological mother, marital status unknown","not enrolled, high school degree",Unknown,"never married, cohabiting",white,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, high school degree, and grew up at age 12 in area is Unknown, and current marriage status is never married, cohabiting, and race is white"
"biological mother, marital status unknown","enrolled in grades 1-12, not a high school graduate",urban,"never married, not cohabiting",black,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is enrolled in grades 1-12, not a high school graduate, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is black"
Unknown,"not enrolled, high school degree",Unknown,"never married, not cohabiting",black,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, high school degree, and grew up at age 12 in area is Unknown, and current marriage status is never married, not cohabiting, and race is black"
"biological mother, marital status unknown","not enrolled, GED",urban,"married, spouse absent",white,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, GED, and grew up at age 12 in area is urban, and current marriage status is married, spouse absent, and race is white"
"biological mother, other parent present","not enrolled, no high school degree, no GED",urban,"never married, not cohabiting",white,True,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and current education status is not enrolled, no high school degree, no GED, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is white"
both biological parents,"not enrolled, high school degree",urban,"never married, not cohabiting",asian or pacific islander,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, high school degree, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is asian or pacific islander"
both biological parents,"not enrolled, high school degree",urban,"never married, cohabiting",asian or pacific islander,True,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, high school degree, and grew up at age 12 in area is urban, and current marriage status is never married, cohabiting, and race is asian or pacific islander"
both biological parents,enrolled in a 4-year college,urban,"never married, not cohabiting",white,True,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is enrolled in a 4-year college, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is white"
adoptive parent(s),"not enrolled, some college",urban,"never married, not cohabiting",white,False,"relationship at age 12 with parent figure(s) or guardian(s) is adoptive parent(s), and current education status is not enrolled, some college, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is white"
both biological parents,"not enrolled, high school degree",urban,"married, spouse present",hispanic,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, high school degree, and grew up at age 12 in area is urban, and current marriage status is married, spouse present, and race is hispanic"
"biological mother, marital status unknown","not enrolled, some college",urban,"never married, cohabiting",black,True,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, some college, and grew up at age 12 in area is urban, and current marriage status is never married, cohabiting, and race is black"
"biological mother, marital status unknown","enrolled in grades 1-12, not a high school graduate",urban,"never married, not cohabiting",black,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is enrolled in grades 1-12, not a high school graduate, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is black"
"biological mother, marital status unknown","not enrolled, high school degree",urban,"never married, not cohabiting",black,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, high school degree, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is black"
"biological mother, marital status unknown","not enrolled, no high school degree, no GED",urban,"never married, not cohabiting",black,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, no high school degree, no GED, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is black"
"biological mother, marital status unknown","not enrolled, no high school degree, no GED",urban,"never married, not cohabiting",black,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, no high school degree, no GED, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is black"
both biological parents,"not enrolled, some college",urban,"married, spouse present",hispanic,True,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, some college, and grew up at age 12 in area is urban, and current marriage status is married, spouse present, and race is hispanic"
"biological mother, marital status unknown","not enrolled, high school degree",Unknown,"never married, not cohabiting",black,True,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, high school degree, and grew up at age 12 in area is Unknown, and current marriage status is never married, not cohabiting, and race is black"
"biological mother, marital status unknown",enrolled in a 2-year college,urban,"never married, cohabiting",black,True,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is enrolled in a 2-year college, and grew up at age 12 in area is urban, and current marriage status is never married, cohabiting, and race is black"
both biological parents,enrolled in a 4-year college,Unknown,"never married, not cohabiting",white,True,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is enrolled in a 4-year college, and grew up at age 12 in area is Unknown, and current marriage status is never married, not cohabiting, and race is white"
both biological parents,"not enrolled, some college",Unknown,"never married, not cohabiting",white,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, some college, and grew up at age 12 in area is Unknown, and current marriage status is never married, not cohabiting, and race is white"
both biological parents,"not enrolled, some college",Unknown,"never married, cohabiting",white,True,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, some college, and grew up at age 12 in area is Unknown, and current marriage status is never married, cohabiting, and race is white"
Unknown,"not enrolled, no high school degree, no GED",Unknown,"never married, cohabiting",hispanic,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, no high school degree, no GED, and grew up at age 12 in area is Unknown, and current marriage status is never married, cohabiting, and race is hispanic"
"biological mother, marital status unknown","not enrolled, no high school degree, no GED",urban,"never married, not cohabiting",white,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, no high school degree, no GED, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is white"
"biological mother, marital status unknown","enrolled in grades 1-12, not a high school graduate",urban,"never married, not cohabiting",white,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is enrolled in grades 1-12, not a high school graduate, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is white"
Unknown,enrolled in a 2-year college,Unknown,"never married, not cohabiting",black,True,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is enrolled in a 2-year college, and grew up at age 12 in area is Unknown, and current marriage status is never married, not cohabiting, and race is black"
both biological parents,"not enrolled, 4-year college graduate",urban,"never married, not cohabiting",white,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, 4-year college graduate, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is white"
"biological mother, marital status unknown","not enrolled, no high school degree, no GED",urban,"never married, cohabiting",white,True,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, no high school degree, no GED, and grew up at age 12 in area is urban, and current marriage status is never married, cohabiting, and race is white"
Unknown,"not enrolled, no high school degree, no GED",Unknown,"never married, cohabiting",white,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, no high school degree, no GED, and grew up at age 12 in area is Unknown, and current marriage status is never married, cohabiting, and race is white"
"biological mother, marital status unknown","enrolled in grades 1-12, not a high school graduate",urban,"never married, not cohabiting",white,True,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is enrolled in grades 1-12, not a high school graduate, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is white"
both biological parents,"not enrolled, some college",urban,"never married, not cohabiting",white,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, some college, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is white"
"other adults, biological parent status unknown, not group quarters","not enrolled, no high school degree, no GED",urban,"never married, cohabiting",hispanic,True,"relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and current education status is not enrolled, no high school degree, no GED, and grew up at age 12 in area is urban, and current marriage status is never married, cohabiting, and race is hispanic"
"biological mother, marital status unknown","not enrolled, high school degree",urban,"never married, cohabiting",black,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, high school degree, and grew up at age 12 in area is urban, and current marriage status is never married, cohabiting, and race is black"
both biological parents,"not enrolled, some college",urban,"never married, not cohabiting",white,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, some college, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is white"
"biological dad, marital status unknown","not enrolled, GED",Unknown,"never married, not cohabiting",black,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and current education status is not enrolled, GED, and grew up at age 12 in area is Unknown, and current marriage status is never married, not cohabiting, and race is black"
"biological mother, marital status unknown","not enrolled, high school degree",urban,"never married, cohabiting",white,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, high school degree, and grew up at age 12 in area is urban, and current marriage status is never married, cohabiting, and race is white"
Unknown,"not enrolled, some college",Unknown,"never married, cohabiting",white,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, some college, and grew up at age 12 in area is Unknown, and current marriage status is never married, cohabiting, and race is white"
"biological mother, marital status unknown","not enrolled, no high school degree, no GED",urban,"never married, not cohabiting",black,True,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, no high school degree, no GED, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is black"
"biological mother, marital status unknown",enrolled in a 4-year college,urban,"never married, not cohabiting",black,True,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is enrolled in a 4-year college, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is black"
Unknown,"not enrolled, no high school degree, no GED",Unknown,"never married, not cohabiting",white,True,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, no high school degree, no GED, and grew up at age 12 in area is Unknown, and current marriage status is never married, not cohabiting, and race is white"
both biological parents,enrolled in a 4-year college,urban,"never married, not cohabiting",white,True,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is enrolled in a 4-year college, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is white"
both biological parents,enrolled in a 4-year college,urban,"never married, not cohabiting",white,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is enrolled in a 4-year college, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is white"
"biological mother, marital status unknown","not enrolled, some college",urban,"never married, not cohabiting",asian or pacific islander,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, some college, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is asian or pacific islander"
"biological mother, marital status unknown","not enrolled, no high school degree, no GED",urban,"never married, not cohabiting",white,True,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, no high school degree, no GED, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is white"
"biological mother, marital status unknown",enrolled in a 4-year college,urban,"never married, not cohabiting",white,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is enrolled in a 4-year college, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is white"
both biological parents,enrolled in a 4-year college,urban,"never married, not cohabiting",hispanic,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is enrolled in a 4-year college, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is hispanic"
Unknown,"not enrolled, no high school degree, no GED",Unknown,"never married, not cohabiting",white,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, no high school degree, no GED, and grew up at age 12 in area is Unknown, and current marriage status is never married, not cohabiting, and race is white"
"biological mother, marital status unknown","not enrolled, GED",Unknown,"never married, cohabiting",white,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, GED, and grew up at age 12 in area is Unknown, and current marriage status is never married, cohabiting, and race is white"
Unknown,"enrolled in grades 1-12, not a high school graduate",Unknown,"never married, not cohabiting",asian or pacific islander,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is enrolled in grades 1-12, not a high school graduate, and grew up at age 12 in area is Unknown, and current marriage status is never married, not cohabiting, and race is asian or pacific islander"
"biological mother, marital status unknown","not enrolled, no high school degree, no GED",Unknown,"never married, not cohabiting",white,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, no high school degree, no GED, and grew up at age 12 in area is Unknown, and current marriage status is never married, not cohabiting, and race is white"
Unknown,"not enrolled, no high school degree, no GED",Unknown,"never married, not cohabiting",white,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, no high school degree, no GED, and grew up at age 12 in area is Unknown, and current marriage status is never married, not cohabiting, and race is white"
both biological parents,enrolled in a 4-year college,urban,"never married, not cohabiting",white,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is enrolled in a 4-year college, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is white"
both biological parents,"not enrolled, GED",rural,"never married, not cohabiting",white,True,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, GED, and grew up at age 12 in area is rural, and current marriage status is never married, not cohabiting, and race is white"
"biological mother, marital status unknown","not enrolled, no high school degree, no GED",urban,"married, spouse present",white,True,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, no high school degree, no GED, and grew up at age 12 in area is urban, and current marriage status is married, spouse present, and race is white"
"biological mother, marital status unknown","not enrolled, no high school degree, no GED",rural,"never married, cohabiting",white,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, no high school degree, no GED, and grew up at age 12 in area is rural, and current marriage status is never married, cohabiting, and race is white"
"biological mother, marital status unknown","not enrolled, no high school degree, no GED",urban,"never married, cohabiting",white,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, no high school degree, no GED, and grew up at age 12 in area is urban, and current marriage status is never married, cohabiting, and race is white"
Unknown,"not enrolled, high school degree",Unknown,"never married, cohabiting",white,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, high school degree, and grew up at age 12 in area is Unknown, and current marriage status is never married, cohabiting, and race is white"
"biological mother, marital status unknown","not enrolled, no high school degree, no GED",Unknown,"never married, cohabiting",hispanic,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, no high school degree, no GED, and grew up at age 12 in area is Unknown, and current marriage status is never married, cohabiting, and race is hispanic"
"biological mother, marital status unknown","not enrolled, no high school degree, no GED",Unknown,"never married, not cohabiting",hispanic,True,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, no high school degree, no GED, and grew up at age 12 in area is Unknown, and current marriage status is never married, not cohabiting, and race is hispanic"
Unknown,"not enrolled, no high school degree, no GED",Unknown,"never married, not cohabiting",black,True,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, no high school degree, no GED, and grew up at age 12 in area is Unknown, and current marriage status is never married, not cohabiting, and race is black"
