college02,num_weight,experience02,parentrelations,height_total_inches,y_arrestedafter2002,nshot_summary_text
enrolled in a 4-year college,198,1,"biological mother, other parent present",70,False,"current education status is enrolled in a 4-year college, and weight in pounds is 198, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and height in inches is 70"
"not enrolled, no high school degree, no GED",157,4,"biological mother, marital status unknown",76,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 157, and number of jobs held in past year is 4, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 76"
"not enrolled, no high school degree, no GED",165,2,"biological mother, marital status unknown",74,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 165, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 74"
"not enrolled, no high school degree, no GED",145,1,"biological mother, marital status unknown",73,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 145, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 73"
"not enrolled, high school degree",165,3,"biological mother, marital status unknown",70,False,"current education status is not enrolled, high school degree, and weight in pounds is 165, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 70"
enrolled in a 2-year college,160,3,both biological parents,72,False,"current education status is enrolled in a 2-year college, and weight in pounds is 160, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 72"
"not enrolled, high school degree",160,1,"biological mother, marital status unknown",67,True,"current education status is not enrolled, high school degree, and weight in pounds is 160, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 67"
"not enrolled, some college",237,2,both biological parents,78,False,"current education status is not enrolled, some college, and weight in pounds is 237, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 78"
"not enrolled, no high school degree, no GED",187,3,both biological parents,70,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 187, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 70"
enrolled in a 4-year college,180,1,both biological parents,69,False,"current education status is enrolled in a 4-year college, and weight in pounds is 180, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 69"
"not enrolled, no high school degree, no GED",145,4,"biological dad, marital status unknown",71,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 145, and number of jobs held in past year is 4, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and height in inches is 71"
"not enrolled, GED",145,3,"biological dad, marital status unknown",62,True,"current education status is not enrolled, GED, and weight in pounds is 145, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and height in inches is 62"
"not enrolled, GED",187,0,adoptive parent(s),73,False,"current education status is not enrolled, GED, and weight in pounds is 187, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is adoptive parent(s), and height in inches is 73"
"not enrolled, some college",165,4,both biological parents,74,False,"current education status is not enrolled, some college, and weight in pounds is 165, and number of jobs held in past year is 4, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 74"
"not enrolled, no high school degree, no GED",137,1,Unknown,67,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 137, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 67"
"not enrolled, high school degree",220,0,adoptive parent(s),69,True,"current education status is not enrolled, high school degree, and weight in pounds is 220, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is adoptive parent(s), and height in inches is 69"
"not enrolled, no high school degree, no GED",170,0,adoptive parent(s),68,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 170, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is adoptive parent(s), and height in inches is 68"
"not enrolled, high school degree",410,2,"biological mother, marital status unknown",80,False,"current education status is not enrolled, high school degree, and weight in pounds is 410, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 80"
"not enrolled, no high school degree, no GED",180,2,"biological mother, marital status unknown",73,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 180, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 73"
"not enrolled, no high school degree, no GED",240,1,"other adults, biological parent status unknown, not group quarters",69,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 240, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and height in inches is 69"
"not enrolled, no high school degree, no GED",212,3,"other adults, biological parent status unknown, not group quarters",68,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 212, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and height in inches is 68"
"not enrolled, GED",170,1,"biological mother, marital status unknown",71,True,"current education status is not enrolled, GED, and weight in pounds is 170, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 71"
"not enrolled, no high school degree, no GED",105,2,"biological mother, marital status unknown",66,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 105, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 66"
"not enrolled, no high school degree, no GED",162,1,"biological mother, marital status unknown",64,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 162, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 64"
"not enrolled, GED",130,1,both biological parents,70,True,"current education status is not enrolled, GED, and weight in pounds is 130, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 70"
"not enrolled, high school degree",140,1,Unknown,64,False,"current education status is not enrolled, high school degree, and weight in pounds is 140, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 64"
"not enrolled, GED",185,3,group quarters,74,False,"current education status is not enrolled, GED, and weight in pounds is 185, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is group quarters, and height in inches is 74"
enrolled in a 2-year college,230,2,"biological mother, marital status unknown",67,False,"current education status is enrolled in a 2-year college, and weight in pounds is 230, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 67"
"not enrolled, GED",186,3,Unknown,69,True,"current education status is not enrolled, GED, and weight in pounds is 186, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 69"
"not enrolled, no high school degree, no GED",110,0,Unknown,61,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 110, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 61"
"enrolled in grades 1-12, not a high school graduate",120,4,"biological mother, marital status unknown",63,False,"current education status is enrolled in grades 1-12, not a high school graduate, and weight in pounds is 120, and number of jobs held in past year is 4, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 63"
"not enrolled, no high school degree, no GED",230,1,Unknown,65,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 230, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 65"
"not enrolled, GED",105,2,"biological mother, marital status unknown",62,False,"current education status is not enrolled, GED, and weight in pounds is 105, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 62"
"not enrolled, high school degree",137,1,Unknown,64,False,"current education status is not enrolled, high school degree, and weight in pounds is 137, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 64"
enrolled in a 4-year college,162,2,both biological parents,69,True,"current education status is enrolled in a 4-year college, and weight in pounds is 162, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 69"
"not enrolled, no high school degree, no GED",190,1,"biological mother, marital status unknown",73,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 190, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 73"
"not enrolled, high school degree",170,2,both biological parents,72,True,"current education status is not enrolled, high school degree, and weight in pounds is 170, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 72"
"not enrolled, no high school degree, no GED",195,1,"biological mother, marital status unknown",64,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 195, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 64"
"not enrolled, no high school degree, no GED",155,2,"biological father, other parent present",65,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 155, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological father, other parent present, and height in inches is 65"
"not enrolled, no high school degree, no GED",110,2,"biological mother, other parent present",64,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 110, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and height in inches is 64"
"not enrolled, no high school degree, no GED",160,2,both biological parents,68,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 160, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 68"
"not enrolled, no high school degree, no GED",120,1,"biological mother, marital status unknown",64,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 120, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 64"
"not enrolled, high school degree",250,2,"biological mother, marital status unknown",72,False,"current education status is not enrolled, high school degree, and weight in pounds is 250, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 72"
"not enrolled, high school degree",162,2,both biological parents,66,False,"current education status is not enrolled, high school degree, and weight in pounds is 162, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 66"
"not enrolled, no high school degree, no GED",160,2,"biological mother, marital status unknown",73,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 160, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 73"
"not enrolled, GED",160,1,Unknown,69,True,"current education status is not enrolled, GED, and weight in pounds is 160, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 69"
"not enrolled, GED",185,4,"biological mother, marital status unknown",72,False,"current education status is not enrolled, GED, and weight in pounds is 185, and number of jobs held in past year is 4, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 72"
"not enrolled, GED",162,1,Unknown,70,False,"current education status is not enrolled, GED, and weight in pounds is 162, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 70"
"not enrolled, no high school degree, no GED",154,0,"biological mother, marital status unknown",68,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 154, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 68"
"not enrolled, GED",187,0,"biological mother, marital status unknown",72,False,"current education status is not enrolled, GED, and weight in pounds is 187, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 72"
"not enrolled, no high school degree, no GED",180,0,"biological mother, marital status unknown",73,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 180, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 73"
"not enrolled, some college",187,3,both biological parents,69,False,"current education status is not enrolled, some college, and weight in pounds is 187, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 69"
"not enrolled, GED",165,4,"biological mother, marital status unknown",71,False,"current education status is not enrolled, GED, and weight in pounds is 165, and number of jobs held in past year is 4, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 71"
enrolled in a 2-year college,250,1,"biological mother, marital status unknown",70,False,"current education status is enrolled in a 2-year college, and weight in pounds is 250, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 70"
"not enrolled, some college",212,2,both biological parents,72,False,"current education status is not enrolled, some college, and weight in pounds is 212, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 72"
"not enrolled, high school degree",135,3,Unknown,69,False,"current education status is not enrolled, high school degree, and weight in pounds is 135, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 69"
"not enrolled, high school degree",145,3,both biological parents,73,False,"current education status is not enrolled, high school degree, and weight in pounds is 145, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 73"
"enrolled in grades 1-12, not a high school graduate",180,5,"biological mother, marital status unknown",73,True,"current education status is enrolled in grades 1-12, not a high school graduate, and weight in pounds is 180, and number of jobs held in past year is 5, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 73"
"not enrolled, GED",210,2,"biological dad, marital status unknown",82,False,"current education status is not enrolled, GED, and weight in pounds is 210, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and height in inches is 82"
"not enrolled, high school degree",135,3,Unknown,67,False,"current education status is not enrolled, high school degree, and weight in pounds is 135, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 67"
"enrolled in grades 1-12, not a high school graduate",130,2,"biological mother, marital status unknown",66,True,"current education status is enrolled in grades 1-12, not a high school graduate, and weight in pounds is 130, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 66"
"not enrolled, no high school degree, no GED",155,2,"biological mother, marital status unknown",74,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 155, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 74"
"not enrolled, GED",162,1,both biological parents,68,False,"current education status is not enrolled, GED, and weight in pounds is 162, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 68"
"not enrolled, high school degree",160,3,"biological mother, marital status unknown",73,False,"current education status is not enrolled, high school degree, and weight in pounds is 160, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 73"
"not enrolled, GED",170,2,"biological mother, marital status unknown",74,False,"current education status is not enrolled, GED, and weight in pounds is 170, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 74"
"not enrolled, high school degree",162,6,"biological mother, marital status unknown",67,False,"current education status is not enrolled, high school degree, and weight in pounds is 162, and number of jobs held in past year is 6, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 67"
enrolled in a 4-year college,135,3,"biological mother, marital status unknown",68,False,"current education status is enrolled in a 4-year college, and weight in pounds is 135, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 68"
"not enrolled, no high school degree, no GED",237,3,"biological mother, marital status unknown",73,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 237, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 73"
"not enrolled, GED",157,1,"biological mother, marital status unknown",73,True,"current education status is not enrolled, GED, and weight in pounds is 157, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 73"
enrolled in a 4-year college,130,1,"other adults, biological parent status unknown, not group quarters",65,False,"current education status is enrolled in a 4-year college, and weight in pounds is 130, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and height in inches is 65"
enrolled in a graduate program,162,3,both biological parents,70,False,"current education status is enrolled in a graduate program, and weight in pounds is 162, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 70"
"not enrolled, high school degree",162,1,"biological mother, marital status unknown",64,False,"current education status is not enrolled, high school degree, and weight in pounds is 162, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 64"
"not enrolled, high school degree",215,2,both biological parents,72,False,"current education status is not enrolled, high school degree, and weight in pounds is 215, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 72"
"not enrolled, GED",155,1,"biological mother, marital status unknown",63,True,"current education status is not enrolled, GED, and weight in pounds is 155, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 63"
"not enrolled, high school degree",140,0,"biological mother, marital status unknown",66,False,"current education status is not enrolled, high school degree, and weight in pounds is 140, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 66"
"not enrolled, GED",204,4,"biological mother, marital status unknown",72,False,"current education status is not enrolled, GED, and weight in pounds is 204, and number of jobs held in past year is 4, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 72"
enrolled in a 4-year college,145,1,both biological parents,68,False,"current education status is enrolled in a 4-year college, and weight in pounds is 145, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 68"
"not enrolled, GED",162,2,"biological mother, marital status unknown",73,False,"current education status is not enrolled, GED, and weight in pounds is 162, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 73"
"not enrolled, some college",115,0,"biological dad, marital status unknown",61,False,"current education status is not enrolled, some college, and weight in pounds is 115, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and height in inches is 61"
"enrolled in grades 1-12, not a high school graduate",160,1,both biological parents,70,True,"current education status is enrolled in grades 1-12, not a high school graduate, and weight in pounds is 160, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 70"
enrolled in a 4-year college,130,2,"other adults, biological parent status unknown, not group quarters",66,True,"current education status is enrolled in a 4-year college, and weight in pounds is 130, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and height in inches is 66"
"not enrolled, no high school degree, no GED",210,0,both biological parents,73,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 210, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 73"
"not enrolled, no high school degree, no GED",160,2,"biological mother, marital status unknown",92,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 160, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 92"
enrolled in a 2-year college,260,2,adoptive parent(s),64,False,"current education status is enrolled in a 2-year college, and weight in pounds is 260, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is adoptive parent(s), and height in inches is 64"
"not enrolled, high school degree",158,3,both biological parents,73,False,"current education status is not enrolled, high school degree, and weight in pounds is 158, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 73"
"not enrolled, no high school degree, no GED",130,2,"biological dad, marital status unknown",64,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 130, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and height in inches is 64"
"enrolled in grades 1-12, not a high school graduate",145,1,Unknown,71,False,"current education status is enrolled in grades 1-12, not a high school graduate, and weight in pounds is 145, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 71"
"not enrolled, high school degree",140,2,both biological parents,59,False,"current education status is not enrolled, high school degree, and weight in pounds is 140, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 59"
"not enrolled, no high school degree, no GED",135,0,"biological mother, marital status unknown",74,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 135, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 74"
"not enrolled, high school degree",162,1,"biological mother, marital status unknown",65,False,"current education status is not enrolled, high school degree, and weight in pounds is 162, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 65"
"not enrolled, high school degree",180,4,both biological parents,62,False,"current education status is not enrolled, high school degree, and weight in pounds is 180, and number of jobs held in past year is 4, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 62"
enrolled in a 4-year college,210,2,both biological parents,75,False,"current education status is enrolled in a 4-year college, and weight in pounds is 210, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 75"
enrolled in a 4-year college,187,2,both biological parents,73,False,"current education status is enrolled in a 4-year college, and weight in pounds is 187, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 73"
enrolled in a 4-year college,120,4,"biological dad, marital status unknown",64,False,"current education status is enrolled in a 4-year college, and weight in pounds is 120, and number of jobs held in past year is 4, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and height in inches is 64"
"not enrolled, no high school degree, no GED",278,2,"biological dad, marital status unknown",66,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 278, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and height in inches is 66"
"not enrolled, no high school degree, no GED",162,0,"other adults, biological parent status unknown, not group quarters",72,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 162, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and height in inches is 72"
"not enrolled, no high school degree, no GED",170,0,"biological mother, marital status unknown",74,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 170, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 74"
"not enrolled, high school degree",165,2,"biological dad, marital status unknown",68,False,"current education status is not enrolled, high school degree, and weight in pounds is 165, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and height in inches is 68"
"not enrolled, no high school degree, no GED",187,1,adoptive parent(s),69,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 187, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is adoptive parent(s), and height in inches is 69"
"not enrolled, no high school degree, no GED",260,1,Unknown,69,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 260, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 69"
"enrolled in grades 1-12, not a high school graduate",162,1,Unknown,69,True,"current education status is enrolled in grades 1-12, not a high school graduate, and weight in pounds is 162, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 69"
enrolled in a 4-year college,108,6,both biological parents,68,False,"current education status is enrolled in a 4-year college, and weight in pounds is 108, and number of jobs held in past year is 6, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 68"
enrolled in a 2-year college,160,2,both biological parents,62,False,"current education status is enrolled in a 2-year college, and weight in pounds is 160, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 62"
"enrolled in grades 1-12, not a high school graduate",212,1,"biological mother, marital status unknown",83,False,"current education status is enrolled in grades 1-12, not a high school graduate, and weight in pounds is 212, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 83"
"not enrolled, GED",110,0,Unknown,65,False,"current education status is not enrolled, GED, and weight in pounds is 110, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 65"
"not enrolled, high school degree",190,2,Unknown,62,False,"current education status is not enrolled, high school degree, and weight in pounds is 190, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 62"
"not enrolled, no high school degree, no GED",145,1,"biological dad, marital status unknown",69,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 145, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and height in inches is 69"
"not enrolled, no high school degree, no GED",195,5,both biological parents,73,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 195, and number of jobs held in past year is 5, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 73"
"not enrolled, high school degree",140,2,"biological mother, marital status unknown",72,True,"current education status is not enrolled, high school degree, and weight in pounds is 140, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 72"
"not enrolled, GED",144,4,"biological mother, marital status unknown",68,False,"current education status is not enrolled, GED, and weight in pounds is 144, and number of jobs held in past year is 4, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 68"
enrolled in a 4-year college,128,1,Unknown,65,False,"current education status is enrolled in a 4-year college, and weight in pounds is 128, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 65"
"not enrolled, no high school degree, no GED",190,4,both biological parents,74,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 190, and number of jobs held in past year is 4, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 74"
"not enrolled, some college",165,1,"biological mother, other parent present",68,False,"current education status is not enrolled, some college, and weight in pounds is 165, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and height in inches is 68"
"not enrolled, high school degree",155,2,"biological mother, marital status unknown",70,True,"current education status is not enrolled, high school degree, and weight in pounds is 155, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 70"
"not enrolled, no high school degree, no GED",180,1,"biological mother, marital status unknown",75,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 180, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 75"
"not enrolled, some college",130,1,"biological mother, marital status unknown",65,False,"current education status is not enrolled, some college, and weight in pounds is 130, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 65"
