pubid,sex,birthyear,birthmonth,race_ethnicity,race_specific,height_ft,height_in,weight,married02,educ02,college02,experience02,hhsize97,parentrelations,urbanrural,homelessness,faminjail,foodstamp,victim,askgod,godhasnothingtodo,expectdeath,depression,marijuana,cocaine,anydrug,arrestedby2002,numberofarrestsby2002,arrestedafter2002,convictedby2002,convictedafter2002,recidivism,firstcrime,race,num_weight,short,long
520,Male,1981,10: October,Hispanic,R REFUSES TO CLASSIFY RACE EXCEPT HISPANIC/LATINO,5,8,178,"Never married, not cohabiting",High school diploma (Regular 12 year program),"Not enrolled, high school degree",1,4,-4,-4,NO,NO,0,NO,TRUE,FALSE,-4,None of the time,1,0,1,1,1,1,0,1,1,0,hispanic,178.0,The person is a 21-year-old male who identifies himself as Hispanic. He has been arrested 1 time but has not been convicted.,"The person is a 21-year-old male who identifies himself as Hispanic. He has been arrested 1 time but has not been convicted. He is 5 feet 8 inches and weighs 178 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held 1 job during the year. He has used drugs in the past four years (marijuana) and has not felt depressed over the past month. At a young age, he lived in a household of size 4. He considers that God has something to do with what happens to him personally."
521,Male,1983,7: July,Hispanic,White,5,5,-1,"Married, spouse present",None,"Not enrolled, no high school degree, no GED",0,4,-4,-4,NO,NO,0,NO,TRUE,FALSE,-4,Some of the time,1,0,1,1,2,0,1,0,0,0,hispanic,60.0,The person is a 19-year-old male who identifies himself as Hispanic. He has been arrested 2 times and has been convicted.,"The person is a 19-year-old male who identifies himself as Hispanic. He has been arrested 2 times and has been convicted. He is 5 feet 5 inches. He is married and is currently living with his spouse. He does not have a high school diploma or GED certificate and is not enrolled in college. He has held no jobs during the year. He has used drugs in the past four years (marijuana) and some of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived in a household of size 4. He considers that God has something to do with what happens to him personally."
523,Female,1980,5: May,Non-Black / Non-Hispanic,White,5,3,175 TO 199,"Never married, cohabiting",None,"Not enrolled, no high school degree, no GED",2,4,"Biological mother, marital status unknown",Urban,NO,NO,1,NO,TRUE,FALSE,50,Some of the time,1,1,1,1,3,1,1,1,1,0,white,187.0,The person is a 22-year-old female who identifies herself as White. She has been arrested 3 times and has been convicted.,"The person is a 22-year-old female who identifies herself as White. She has been arrested 3 times and has been convicted. She is 5 feet 3 inches and weighs between 175 and 199 lbs. She has never been married and is currently not living alone. She does not have a high school diploma or GED certificate and is not enrolled in college. She has held 2 jobs during the year. She has used drugs in the past four years (marijuana and cocaine) and some of the time during the past month she has felt so down in the dumps that nothing could cheer her up. At a young age, she lived with her biological mother in a household of size 4, in an urban area. She considers that God has something to do with what happens to her personally."
524,Male,1981,8: August,Hispanic,White,5,6,138,"Never married, not cohabiting",GED,"Not enrolled, GED",1,4,-4,-4,NO,NO,0,NO,TRUE,FALSE,-4,None of the time,1,1,1,1,1,0,0,0,0,0,hispanic,138.0,The person is a 21-year-old male who identifies himself as Hispanic. He has been arrested 1 time but has not been convicted.,"The person is a 21-year-old male who identifies himself as Hispanic. He has been arrested 1 time but has not been convicted. He is 5 feet 6 inches and weighs 138 lbs. He has never been married and is currently living alone. He has a GED certificate and is not enrolled in college. He has held 1 job during the year. He has used drugs in the past four years (marijuana and cocaine) and has not felt depressed over the past month. At a young age, he lived in a household of size 4. He considers that God has something to do with what happens to him personally."
525,Male,1982,4: April,Hispanic,R REFUSES TO CLASSIFY RACE EXCEPT HISPANIC/LATINO,5,9,195,"Never married, not cohabiting",High school diploma (Regular 12 year program),"Not enrolled, high school degree",2,5,Both biological parents,Urban,NO,YES,0,NO,TRUE,FALSE,-4,None of the time,0,1,1,1,1,0,1,0,0,0,hispanic,195.0,The person is a 20-year-old male who identifies himself as Hispanic. He has been arrested 1 time and has been convicted.,"The person is a 20-year-old male who identifies himself as Hispanic. He has been arrested 1 time and has been convicted. He is 5 feet 9 inches and weighs 195 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held 2 jobs during the year. He has used drugs in the past four years (cocaine) and has not felt depressed over the past month. At a young age, he lived with both of his biological parents in a household of size 5, in an urban area. He considers that God has something to do with what happens to him personally."
526,Male,1983,11: November,Hispanic,R REFUSES TO CLASSIFY RACE EXCEPT HISPANIC/LATINO,5,9,200 TO 224,"Never married, not cohabiting",None,"Enrolled in grades 1-12, not a high school graduate",1,5,Both biological parents,Urban,NO,NO,0,NO,FALSE,TRUE,-4,None of the time,0,1,1,1,1,1,1,0,1,0,hispanic,212.0,The person is a 19-year-old male who identifies himself as Hispanic. He has been arrested 1 time and has been convicted.,"The person is a 19-year-old male who identifies himself as Hispanic. He has been arrested 1 time and has been convicted. He is 5 feet 9 inches and weighs between 200 and 224 lbs. He has never been married and is currently living alone. He is enrolled in school at the present moment. He has held 1 job during the year. He has used drugs in the past four years (cocaine) and has not felt depressed over the past month. At a young age, he lived with both of his biological parents in a household of size 5, in an urban area. He considers that God has nothing to do with what happens to him personally."
538,Female,1983,8: August,Non-Black / Non-Hispanic,White,5,9,-1,"Never married, not cohabiting",None,"Not enrolled, GED",2,4,"Biological mother, marital status unknown",Urban,NO,NO,0,NO,TRUE,FALSE,-4,None of the time,1,0,1,1,1,0,0,0,0,0,white,350.0,The person is a 19-year-old female who identifies herself as White. She has been arrested 1 time but has not been convicted.,"The person is a 19-year-old female who identifies herself as White. She has been arrested 1 time but has not been convicted. She is 5 feet 9 inches. She has never been married and is currently living alone. She does not have a high school diploma or GED certificate and is not enrolled in college. She has held 2 jobs during the year. She has used drugs in the past four years (marijuana) and has not felt depressed over the past month. At a young age, she lived with her biological mother in a household of size 4, in an urban area. She considers that God has something to do with what happens to her personally."
546,Male,1980,6: June,Non-Black / Non-Hispanic,Asian or Pacific Islander,6,1,160,"Never married, not cohabiting",High school diploma (Regular 12 year program),Enrolled in a 4-year college,0,4,Both biological parents,Urban,NO,NO,0,NO,TRUE,FALSE,1 TO 10: 1%-10%,None of the time,1,0,1,1,1,0,0,0,0,0,asian or pacific islander,160.0,The person is a 22-year-old male who identifies himself as Asian / Pacific Islander. He has been arrested 1 time but has not been convicted.,"The person is a 22-year-old male who identifies himself as Asian / Pacific Islander. He has been arrested 1 time but has not been convicted. He is 6 feet 1 inch and weighs 160 lbs. He has never been married and is currently living alone. He has a high school diploma and is enrolled in a 4-year college. He has held no jobs during the year. He has used drugs in the past four years (marijuana) and has not felt depressed over the past month. At a young age, he lived with both of his biological parents in a household of size 4, in an urban area. He considers that God has something to do with what happens to him personally."
547,Male,1984,1: January,Non-Black / Non-Hispanic,White,6,5,268,"Never married, not cohabiting",High school diploma (Regular 12 year program),Enrolled in a 4-year college,0,5,Both biological parents,Urban,NO,NO,0,NO,TRUE,FALSE,-4,None of the time,1,0,1,1,1,0,0,0,0,0,white,268.0,The person is an 18-year-old male who identifies himself as White. He has been arrested 1 time but has not been convicted.,"The person is an 18-year-old male who identifies himself as White. He has been arrested 1 time but has not been convicted. He is 6 feet 5 inches and weighs 268 lbs. He has never been married and is currently living alone. He has a high school diploma and is enrolled in a 4-year college. He has held no jobs during the year. He has used drugs in the past four years (marijuana) and has not felt depressed over the past month. At a young age, he lived with both of his biological parents in a household of size 5, in an urban area. He considers that God has something to do with what happens to him personally."
574,Female,1983,1: January,Hispanic,R REFUSES TO CLASSIFY RACE EXCEPT HISPANIC/LATINO,5,2,100 TO 124,"Never married, cohabiting",None,"Not enrolled, no high school degree, no GED",0,9,Both biological parents,Urban,NO,NO,1,NO,TRUE,FALSE,-4,Some of the time,0,0,0,1,1,0,0,0,0,0,hispanic,112.0,The person is a 19-year-old female who identifies herself as Hispanic. She has been arrested 1 time but has not been convicted.,"The person is a 19-year-old female who identifies herself as Hispanic. She has been arrested 1 time but has not been convicted. She is 5 feet 2 inches and weighs between 100 and 124 lbs. She has never been married and is currently not living alone. She does not have a high school diploma or GED certificate and is not enrolled in college. She has held no jobs during the year. She has not used any drugs in the past four years and some of the time during the past month she has felt so down in the dumps that nothing could cheer her up. At a young age, she lived with both of her biological parents in a household of size 9, in an urban area. She considers that God has something to do with what happens to her personally."
579,Female,1980,6: June,Non-Black / Non-Hispanic,White,5,6,115,"Never married, not cohabiting",High school diploma (Regular 12 year program),"Not enrolled, some college",1,4,Both biological parents,Urban,NO,NO,0,NO,FALSE,FALSE,5,None of the time,1,0,1,1,1,0,1,0,0,0,white,115.0,The person is a 22-year-old female who identifies herself as White. She has been arrested 1 time and has been convicted.,"The person is a 22-year-old female who identifies herself as White. She has been arrested 1 time and has been convicted. She is 5 feet 6 inches and weighs 115 lbs. She has never been married and is currently living alone. She has a high school diploma and is not enrolled in college. She has held 1 job during the year. She has used drugs in the past four years (marijuana) and has not felt depressed over the past month. At a young age, she lived with both of her biological parents in a household of size 4, in an urban area. She considers that God has something to do with what happens to her personally."
588,Male,1983,4: April,Non-Black / Non-Hispanic,White,6,2,210,"Never married, not cohabiting",None,"Not enrolled, no high school degree, no GED",0,5,"Biological mother, marital status unknown",Urban,NO,NO,0,NO,TRUE,TRUE,-4,None of the time,0,1,1,1,1,1,0,1,1,0,white,210.0,The person is a 19-year-old male who identifies himself as White. He has been arrested 1 time but has not been convicted.,"The person is a 19-year-old male who identifies himself as White. He has been arrested 1 time but has not been convicted. He is 6 feet 2 inches and weighs 210 lbs. He has never been married and is currently living alone. He does not have a high school diploma or GED certificate and is not enrolled in college. He has held no jobs during the year. He has used drugs in the past four years (cocaine) and has not felt depressed over the past month. At a young age, he lived with his biological mother in a household of size 5, in an urban area. He considers that God has nothing to do with what happens to him personally."
589,Male,1983,4: April,Non-Black / Non-Hispanic,White,5,8,160,"Never married, not cohabiting",None,"Not enrolled, no high school degree, no GED",1,5,"Biological mother, marital status unknown",Urban,NO,NO,0,NO,TRUE,TRUE,-4,None of the time,0,1,1,1,7,1,1,1,1,0,white,160.0,The person is a 19-year-old male who identifies himself as White. He has been arrested 7 times and has been convicted.,"The person is a 19-year-old male who identifies himself as White. He has been arrested 7 times and has been convicted. He is 5 feet 8 inches and weighs 160 lbs. He has never been married and is currently living alone. He does not have a high school diploma or GED certificate and is not enrolled in college. He has held 1 job during the year. He has used drugs in the past four years (cocaine) and has not felt depressed over the past month. At a young age, he lived with his biological mother in a household of size 5, in an urban area. He considers that God has nothing to do with what happens to him personally."
606,Male,1980,5: May,Non-Black / Non-Hispanic,White,6,4,180,"Never married, cohabiting",High school diploma (Regular 12 year program),"Not enrolled, high school degree",1,3,"Biological mother, other parent present",Rural,YES,NO,0,NO,TRUE,FALSE,25,None of the time,1,0,1,1,3,1,1,1,1,0,white,180.0,The person is a 22-year-old male who identifies himself as White. He has been arrested 3 times and has been convicted.,"The person is a 22-year-old male who identifies himself as White. He has been arrested 3 times and has been convicted. He is 6 feet 4 inches and weighs 180 lbs. He has never been married and is currently not living alone. He has a high school diploma and is not enrolled in college. He has held 1 job during the year. He has used drugs in the past four years (marijuana) and has not felt depressed over the past month. At a young age, he lived with his biological mother in a household of size 3, in a rural area. He considers that God has something to do with what happens to him personally."
607,Female,1982,5: May,Non-Black / Non-Hispanic,White,5,5,130,"Never married, not cohabiting",None,"Not enrolled, some college",3,3,"Biological mother, other parent present",-3,NO,NO,0,YES,FALSE,TRUE,-4,Some of the time,1,1,1,1,1,0,1,0,0,0,white,130.0,The person is a 20-year-old female who identifies herself as White. She has been arrested 1 time and has been convicted.,"The person is a 20-year-old female who identifies herself as White. She has been arrested 1 time and has been convicted. She is 5 feet 5 inches and weighs 130 lbs. She has never been married and is currently living alone. She does not have a high school diploma or GED certificate and is not enrolled in college. She has held 3 jobs during the year. She has used drugs in the past four years (marijuana and cocaine) and some of the time during the past month she has felt so down in the dumps that nothing could cheer her up. At a young age, she lived with her biological mother in a household of size 3. She considers that God has nothing to do with what happens to her personally."
610,Female,1981,10: October,Non-Black / Non-Hispanic,White,5,7,140,"Never married, not cohabiting",High school diploma (Regular 12 year program),"Not enrolled, high school degree",0,5,Both biological parents,-3,NO,NO,0,NO,TRUE,FALSE,-4,None of the time,1,1,1,1,1,1,1,1,1,0,white,140.0,The person is a 21-year-old female who identifies herself as White. She has been arrested 1 time and has been convicted.,"The person is a 21-year-old female who identifies herself as White. She has been arrested 1 time and has been convicted. She is 5 feet 7 inches and weighs 140 lbs. She has never been married and is currently living alone. She has a high school diploma and is not enrolled in college. She has held no jobs during the year. She has used drugs in the past four years (marijuana and cocaine) and has not felt depressed over the past month. At a young age, she lived with both of her biological parents in a household of size 5. She considers that God has something to do with what happens to her personally."
611,Male,1984,6: June,Non-Black / Non-Hispanic,White,5,8,140,"Never married, not cohabiting",High school diploma (Regular 12 year program),"Not enrolled, high school degree",1,5,Both biological parents,Urban,NO,NO,0,NO,TRUE,FALSE,-4,None of the time,1,1,1,1,2,1,1,0,1,0,white,140.0,The person is an 18-year-old male who identifies himself as White. He has been arrested 2 times and has been convicted.,"The person is an 18-year-old male who identifies himself as White. He has been arrested 2 times and has been convicted. He is 5 feet 8 inches and weighs 140 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held 1 job during the year. He has used drugs in the past four years (marijuana and cocaine) and has not felt depressed over the past month. At a young age, he lived with both of his biological parents in a household of size 5, in an urban area. He considers that God has something to do with what happens to him personally."
640,Male,1982,7: July,Non-Black / Non-Hispanic,White,6,3,195,"Never married, not cohabiting",High school diploma (Regular 12 year program),Enrolled in a 2-year college,2,5,Both biological parents,Urban,NO,NO,0,NO,TRUE,FALSE,-4,None of the time,1,0,1,1,2,0,1,1,0,0,white,195.0,The person is a 20-year-old male who identifies himself as White. He has been arrested 2 times and has been convicted.,"The person is a 20-year-old male who identifies himself as White. He has been arrested 2 times and has been convicted. He is 6 feet 3 inches and weighs 195 lbs. He has never been married and is currently living alone. He has a high school diploma and is enrolled in a 2-year college. He has held 2 jobs during the year. He has used drugs in the past four years (marijuana) and has not felt depressed over the past month. At a young age, he lived with both of his biological parents in a household of size 5, in an urban area. He considers that God has something to do with what happens to him personally."
660,Female,1982,7: July,Hispanic,Asian or Pacific Islander,5,6,157,"Never married, cohabiting",None,"Not enrolled, no high school degree, no GED",1,5,Both biological parents,Urban,NO,NO,0,NO,FALSE,FALSE,-4,None of the time,1,0,1,1,2,0,0,0,0,0,hispanic,157.0,The person is a 20-year-old female who identifies herself as Hispanic. She has been arrested 2 times but has not been convicted.,"The person is a 20-year-old female who identifies herself as Hispanic. She has been arrested 2 times but has not been convicted. She is 5 feet 6 inches and weighs 157 lbs. She has never been married and is currently not living alone. She does not have a high school diploma or GED certificate and is not enrolled in college. She has held 1 job during the year. She has used drugs in the past four years (marijuana) and has not felt depressed over the past month. At a young age, she lived with both of her biological parents in a household of size 5, in an urban area. She considers that God has something to do with what happens to her personally."
662,Male,1980,8: August,Hispanic,R REFUSES TO CLASSIFY RACE EXCEPT HISPANIC/LATINO,6,1,180,"Never married, not cohabiting",GED,Enrolled in a 2-year college,2,5,Both biological parents,Urban,NO,NO,0,YES,TRUE,FALSE,75,Some of the time,1,0,1,1,9,0,1,0,0,0,hispanic,180.0,The person is a 22-year-old male who identifies himself as Hispanic. He has been arrested 9 times and has been convicted.,"The person is a 22-year-old male who identifies himself as Hispanic. He has been arrested 9 times and has been convicted. He is 6 feet 1 inch and weighs 180 lbs. He has never been married and is currently living alone. He has a GED certificate and is enrolled in a 2-year college. He has held 2 jobs during the year. He has used drugs in the past four years (marijuana) and some of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived with both of his biological parents in a household of size 5, in an urban area. He considers that God has something to do with what happens to him personally."
664,Male,1983,6: June,Black,Black or African American,5,7,186,"Never married, cohabiting",High school diploma (Regular 12 year program),"Not enrolled, some college",4,2,"Biological mother, other parent present",Urban,NO,NO,0,YES,FALSE,TRUE,-4,None of the time,0,0,0,1,2,0,0,0,0,0,black,186.0,The person is a 19-year-old male who identifies himself as Black. He has been arrested 2 times but has not been convicted.,"The person is a 19-year-old male who identifies himself as Black. He has been arrested 2 times but has not been convicted. He is 5 feet 7 inches and weighs 186 lbs. He has never been married and is currently not living alone. He has a high school diploma and is not enrolled in college. He has held 4 jobs during the year. He has not used any drugs in the past four years and has not felt depressed over the past month. At a young age, he lived with his biological mother in a household of size 2, in an urban area. He considers that God has nothing to do with what happens to him personally."
671,Male,1982,12: December,Hispanic,R REFUSES TO CLASSIFY RACE EXCEPT HISPANIC/LATINO,6,2,160,"Never married, cohabiting",GED,"Not enrolled, GED",4,7,-4,-4,NO,NO,0,NO,TRUE,FALSE,-4,None of the time,0,0,0,1,1,0,0,0,0,0,hispanic,160.0,The person is a 20-year-old male who identifies himself as Hispanic. He has been arrested 1 time but has not been convicted.,"The person is a 20-year-old male who identifies himself as Hispanic. He has been arrested 1 time but has not been convicted. He is 6 feet 2 inches and weighs 160 lbs. He has never been married and is currently not living alone. He has a GED certificate and is not enrolled in college. He has held 4 jobs during the year. He has not used any drugs in the past four years and has not felt depressed over the past month. At a young age, he lived in a household of size 7. He considers that God has something to do with what happens to him personally."
675,Female,1981,1: January,Black,Black or African American,5,0,135,"Never married, not cohabiting",None,"Not enrolled, no high school degree, no GED",0,3,"Biological mother, marital status unknown",Urban,NO,YES,1,YES,TRUE,FALSE,-4,Most of the time,1,1,1,1,1,1,0,1,1,0,black,135.0,The person is a 21-year-old female who identifies herself as Black. She has been arrested 1 time but has not been convicted.,"The person is a 21-year-old female who identifies herself as Black. She has been arrested 1 time but has not been convicted. She is 5 feet 0 inches and weighs 135 lbs. She has never been married and is currently living alone. She does not have a high school diploma or GED certificate and is not enrolled in college. She has held no jobs during the year. She has used drugs in the past four years (marijuana and cocaine) and most of the time during the past month she has felt so down in the dumps that nothing could cheer her up. At a young age, she lived with her biological mother in a household of size 3, in an urban area. She considers that God has something to do with what happens to her personally."
680,Male,1980,3: March,Black,Black or African American,6,7,220,"Never married, not cohabiting",High school diploma (Regular 12 year program),Enrolled in a 4-year college,1,3,"Biological dad, marital status unknown",Urban,NO,NO,1,NO,TRUE,-2,0: 0%,None of the time,0,0,0,1,1,1,1,0,1,0,black,220.0,The person is a 22-year-old male who identifies himself as Black. He has been arrested 1 time and has been convicted.,"The person is a 22-year-old male who identifies himself as Black. He has been arrested 1 time and has been convicted. He is 6 feet 7 inches and weighs 220 lbs. He has never been married and is currently living alone. He has a high school diploma and is enrolled in a 4-year college. He has held 1 job during the year. He has not used any drugs in the past four years and has not felt depressed over the past month. At a young age, he lived with his biological dad in a household of size 3, in an urban area."
681,Female,1984,3: March,Black,Black or African American,5,2,107,"Never married, cohabiting",High school diploma (Regular 12 year program),"Not enrolled, some college",1,3,"Biological mother, marital status unknown",Urban,YES,NO,0,YES,TRUE,FALSE,-4,Most of the time,1,0,1,1,2,1,1,0,1,0,black,107.0,The person is an 18-year-old female who identifies herself as Black. She has been arrested 2 times and has been convicted.,"The person is an 18-year-old female who identifies herself as Black. She has been arrested 2 times and has been convicted. She is 5 feet 2 inches and weighs 107 lbs. She has never been married and is currently not living alone. She has a high school diploma and is not enrolled in college. She has held 1 job during the year. She has used drugs in the past four years (marijuana) and most of the time during the past month she has felt so down in the dumps that nothing could cheer her up. At a young age, she lived with her biological mother in a household of size 3, in an urban area. She considers that God has something to do with what happens to her personally."
685,Male,1983,1: January,Black,Black or African American,5,8,145,"Never married, not cohabiting",High school diploma (Regular 12 year program),"Not enrolled, high school degree",1,3,"Biological mother, marital status unknown",Urban,NO,NO,0,NO,TRUE,FALSE,-4,Most of the time,0,0,0,1,1,0,0,0,0,0,black,145.0,The person is a 19-year-old male who identifies himself as Black. He has been arrested 1 time but has not been convicted.,"The person is a 19-year-old male who identifies himself as Black. He has been arrested 1 time but has not been convicted. He is 5 feet 8 inches and weighs 145 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held 1 job during the year. He has not used any drugs in the past four years and most of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived with his biological mother in a household of size 3, in an urban area. He considers that God has something to do with what happens to him personally."
686,Female,1982,11: November,Non-Black / Non-Hispanic,White,5,2,134,"Never married, cohabiting",GED,"Not enrolled, GED",1,4,"Biological mother, marital status unknown",-3,YES,NO,1,YES,TRUE,TRUE,-4,Some of the time,0,0,0,1,3,0,0,0,0,0,white,134.0,The person is a 20-year-old female who identifies herself as White. She has been arrested 3 times but has not been convicted.,"The person is a 20-year-old female who identifies herself as White. She has been arrested 3 times but has not been convicted. She is 5 feet 2 inches and weighs 134 lbs. She has never been married and is currently not living alone. She has a GED certificate and is not enrolled in college. She has held 1 job during the year. She has not used any drugs in the past four years and some of the time during the past month she has felt so down in the dumps that nothing could cheer her up. At a young age, she lived with her biological mother in a household of size 4. She considers that God has nothing to do with what happens to her personally."
703,Female,1980,11: November,Black,Black or African American,5,1,150 TO 174,"Never married, not cohabiting",High school diploma (Regular 12 year program),"Not enrolled, some college",0,2,"Biological mother, marital status unknown",Urban,NO,NO,0,NO,TRUE,FALSE,0: 0%,None of the time,1,1,1,1,4,1,1,1,1,0,black,162.0,The person is a 22-year-old female who identifies herself as Black. She has been arrested 4 times and has been convicted.,"The person is a 22-year-old female who identifies herself as Black. She has been arrested 4 times and has been convicted. She is 5 feet 1 inch and weighs between 150 and 174 lbs. She has never been married and is currently living alone. She has a high school diploma and is not enrolled in college. She has held no jobs during the year. She has used drugs in the past four years (marijuana and cocaine) and has not felt depressed over the past month. At a young age, she lived with her biological mother in a household of size 2, in an urban area. She considers that God has something to do with what happens to her personally."
704,Female,1981,12: December,Non-Black / Non-Hispanic,White,5,3,115,"Married, spouse present",High school diploma (Regular 12 year program),"Not enrolled, high school degree",0,3,"Biological mother, marital status unknown",Urban,NO,NO,0,NO,TRUE,FALSE,-4,None of the time,0,0,0,1,1,0,0,0,0,0,white,115.0,The person is a 21-year-old female who identifies herself as White. She has been arrested 1 time but has not been convicted.,"The person is a 21-year-old female who identifies herself as White. She has been arrested 1 time but has not been convicted. She is 5 feet 3 inches and weighs 115 lbs. She is married and is currently living with her spouse. She has a high school diploma and is not enrolled in college. She has held no jobs during the year. She has not used any drugs in the past four years and has not felt depressed over the past month. At a young age, she lived with her biological mother in a household of size 3, in an urban area. She considers that God has something to do with what happens to her personally."
713,Female,1983,7: July,Black,Black or African American,5,2,140,"Never married, not cohabiting",None,"Not enrolled, high school degree",0,5,Foster parent(s),Urban,NO,NO,1,NO,TRUE,TRUE,-4,Most of the time,0,0,0,1,1,0,0,0,0,0,black,140.0,The person is a 19-year-old female who identifies herself as Black. She has been arrested 1 time but has not been convicted.,"The person is a 19-year-old female who identifies herself as Black. She has been arrested 1 time but has not been convicted. She is 5 feet 2 inches and weighs 140 lbs. She has never been married and is currently living alone. She does not have a high school diploma or GED certificate and is not enrolled in college. She has held no jobs during the year. She has not used any drugs in the past four years and most of the time during the past month she has felt so down in the dumps that nothing could cheer her up. At a young age, she lived with her foster parent(s) in a household of size 5, in an urban area. She considers that God has nothing to do with what happens to her personally."
752,Male,1983,3: March,Black,Black or African American,5,7,169,"Never married, not cohabiting",High school diploma (Regular 12 year program),Enrolled in a 2-year college,1,4,"Biological mother, marital status unknown",Urban,NO,NO,1,NO,TRUE,FALSE,-4,None of the time,1,0,1,1,1,0,0,0,0,0,black,169.0,The person is a 19-year-old male who identifies himself as Black. He has been arrested 1 time but has not been convicted.,"The person is a 19-year-old male who identifies himself as Black. He has been arrested 1 time but has not been convicted. He is 5 feet 7 inches and weighs 169 lbs. He has never been married and is currently living alone. He has a high school diploma and is enrolled in a 2-year college. He has held 1 job during the year. He has used drugs in the past four years (marijuana) and has not felt depressed over the past month. At a young age, he lived with his biological mother in a household of size 4, in an urban area. He considers that God has something to do with what happens to him personally."
764,Male,1981,11: November,Black,Black or African American,5,11,155,"Never married, not cohabiting",High school diploma (Regular 12 year program),"Not enrolled, high school degree",2,3,"Biological mother, marital status unknown",Urban,NO,NO,1,NO,TRUE,FALSE,-4,Some of the time,1,0,1,1,2,0,1,0,0,0,black,155.0,The person is a 21-year-old male who identifies himself as Black. He has been arrested 2 times and has been convicted.,"The person is a 21-year-old male who identifies himself as Black. He has been arrested 2 times and has been convicted. He is 5 feet 11 inches and weighs 155 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held 2 jobs during the year. He has used drugs in the past four years (marijuana) and some of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived with his biological mother in a household of size 3, in an urban area. He considers that God has something to do with what happens to him personally."
779,Male,1980,1: January,Black,Black or African American,6,0,165,"Never married, cohabiting",None,"Not enrolled, GED",3,4,"Other adults, biologial parent status unknown, not group quarters",Urban,NO,NO,1,NO,TRUE,FALSE,0: 0%,None of the time,1,0,1,1,1,1,1,0,1,0,black,165.0,The person is a 22-year-old male who identifies himself as Black. He has been arrested 1 time and has been convicted.,"The person is a 22-year-old male who identifies himself as Black. He has been arrested 1 time and has been convicted. He is 6 feet 0 inches and weighs 165 lbs. He has never been married and is currently not living alone. He does not have a high school diploma or GED certificate and is not enrolled in college. He has held 3 jobs during the year. He has used drugs in the past four years (marijuana) and has not felt depressed over the past month. At a young age, he lived with adults other than biological, foster or adoptive parents in a household of size 4, in an urban area. He considers that God has something to do with what happens to him personally."
789,Male,1980,8: August,Non-Black / Non-Hispanic,White,6,0,225 TO 249,"Never married, not cohabiting",High school diploma (Regular 12 year program),"Not enrolled, high school degree",1,4,"Biological mother, marital status unknown",Urban,NO,NO,0,NO,TRUE,FALSE,0: 0%,Some of the time,1,1,1,1,4,0,1,0,0,0,white,237.0,The person is a 22-year-old male who identifies himself as White. He has been arrested 4 times and has been convicted.,"The person is a 22-year-old male who identifies himself as White. He has been arrested 4 times and has been convicted. He is 6 feet 0 inches and weighs between 225 and 249 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held 1 job during the year. He has used drugs in the past four years (marijuana and cocaine) and some of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived with his biological mother in a household of size 4, in an urban area. He considers that God has something to do with what happens to him personally."
790,Male,1983,2: February,Non-Black / Non-Hispanic,White,6,0,155,"Never married, not cohabiting",None,"Not enrolled, no high school degree, no GED",1,4,"Biological mother, other parent present",Urban,NO,NO,0,YES,FALSE,FALSE,-4,None of the time,1,1,1,1,10,0,1,0,0,0,white,155.0,The person is a 19-year-old male who identifies himself as White. He has been arrested 10 times and has been convicted.,"The person is a 19-year-old male who identifies himself as White. He has been arrested 10 times and has been convicted. He is 6 feet 0 inches and weighs 155 lbs. He has never been married and is currently living alone. He does not have a high school diploma or GED certificate and is not enrolled in college. He has held 1 job during the year. He has used drugs in the past four years (marijuana and cocaine) and has not felt depressed over the past month. At a young age, he lived with his biological mother in a household of size 4, in an urban area. He considers that God has something to do with what happens to him personally."
792,Male,1981,8: August,Non-Black / Non-Hispanic,White,5,11,182,"Never married, not cohabiting",High school diploma (Regular 12 year program),"Not enrolled, some college",1,6,Both biological parents,Urban,NO,NO,0,NO,TRUE,FALSE,-4,None of the time,0,0,0,1,2,0,0,0,0,0,white,182.0,The person is a 21-year-old male who identifies himself as White. He has been arrested 2 times but has not been convicted.,"The person is a 21-year-old male who identifies himself as White. He has been arrested 2 times but has not been convicted. He is 5 feet 11 inches and weighs 182 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held 1 job during the year. He has not used any drugs in the past four years and has not felt depressed over the past month. At a young age, he lived with both of his biological parents in a household of size 6, in an urban area. He considers that God has something to do with what happens to him personally."
