pubid,sex,birthyear,birthmonth,race_ethnicity,race_specific,married02,educ02,college02,experience02,hhsize97,homelessness,faminjail,foodstamp,depression,marijuana,cocaine,anydrug,arrestedby2002,numberofarrestsby2002,arrestedafter2002,convictedby2002,convictedafter2002,recidivism,firstcrime,race,num_weight,short,long,height_cm
847,1,1982,8,0,2,5,3,7.0,0,6,0,0,0,3,1,0,1,1,1,1,0,0,1,0,2,187.0,The person is a 20-year-old male who identifies himself as Black. He has been arrested 1 time but has not been convicted.,"The person is a 20-year-old male who identifies himself as Black. He has been arrested 1 time but has not been convicted. He is 5 feet 9 inches and weighs between 175 and 199 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held no jobs during the year. He has used drugs in the past four years (marijuana) and some of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived with both of his biological parents in a household of size 6, in an urban area. He considers that God has something to do with what happens to him personally.",175
856,1,1980,1,3,5,5,3,7.0,2,3,0,0,0,2,1,1,1,1,3,0,1,0,0,0,5,190.0,The person is a 22-year-old male who identifies himself as White. He has been arrested 3 times and has been convicted.,"The person is a 22-year-old male who identifies himself as White. He has been arrested 3 times and has been convicted. He is 6 feet 1 inch and weighs 190 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held 2 jobs during the year. He has used drugs in the past four years (marijuana and cocaine) and has not felt depressed over the past month. At a young age, he lived with his biological mother in a household of size 3. He considers that God has something to do with what happens to him personally.",185
872,1,1982,1,1,3,5,3,0.0,4,3,0,0,0,2,1,0,1,1,3,0,0,0,0,0,3,185.0,The person is a 20-year-old male who identifies himself as Hispanic. He has been arrested 3 times but has not been convicted.,"The person is a 20-year-old male who identifies himself as Hispanic. He has been arrested 3 times but has not been convicted. He is 6 feet 0 inches and weighs 185 lbs. He has never been married and is currently living alone. He has a high school diploma and is enrolled in a 2-year college. He has held 4 jobs during the year. He has used drugs in the past four years (marijuana) and has not felt depressed over the past month. At a young age, he lived in a household of size 3. He considers that God has something to do with what happens to him personally.",183
882,1,1983,11,1,4,5,3,6.0,3,4,0,0,0,1,1,1,1,1,1,1,0,0,1,0,3,211.0,The person is a 19-year-old male who identifies himself as Hispanic. He has been arrested 1 time but has not been convicted.,"The person is a 19-year-old male who identifies himself as Hispanic. He has been arrested 1 time but has not been convicted. He is 6 feet 11 inches and weighs 211 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held 3 jobs during the year. He has used drugs in the past four years (marijuana and cocaine) and most of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived with his biological mother in a household of size 4. He considers that God has something to do with what happens to him personally.",211
884,1,1981,10,3,1,4,2,1.0,0,5,0,0,0,1,1,0,1,1,2,0,0,0,0,0,1,187.0,The person is a 21-year-old male who identifies himself as Asian / Pacific Islander. He has been arrested 2 times but has not been convicted.,"The person is a 21-year-old male who identifies himself as Asian / Pacific Islander. He has been arrested 2 times but has not been convicted. He is 5 feet 6 inches and weighs between 175 and 199 lbs. He has never been married and is currently not living alone. He has a GED certificate and is enrolled in a 4-year college. He has held no jobs during the year. He has used drugs in the past four years (marijuana) and most of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived with both of his biological parents in a household of size 5, in an urban area. He considers that God has something to do with what happens to him personally.",168
898,1,1983,9,3,5,5,3,6.0,1,4,0,0,0,3,1,1,1,1,2,0,1,0,0,0,5,160.0,The person is a 19-year-old male who identifies himself as White. He has been arrested 2 times and has been convicted.,"The person is a 19-year-old male who identifies himself as White. He has been arrested 2 times and has been convicted. He is 5 feet 8 inches and weighs 160 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held 1 job during the year. He has used drugs in the past four years (marijuana and cocaine) and some of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived with his biological mother in a household of size 4, in a rural area. He considers that God has nothing to do with what happens to him personally.",173
906,0,1984,3,3,5,5,2,5.0,0,3,0,0,0,3,0,1,1,1,3,0,1,0,0,0,5,122.0,The person is an 18-year-old female who identifies herself as White. She has been arrested 3 times and has been convicted.,"The person is an 18-year-old female who identifies herself as White. She has been arrested 3 times and has been convicted. She is 5 feet 4 inches and weighs 122 lbs. She has never been married and is currently living alone. She has a GED certificate and is not enrolled in college. She has held no jobs during the year. She has used drugs in the past four years (cocaine) and some of the time during the past month she has felt so down in the dumps that nothing could cheer her up. At a young age, she lived with her biological mother in a household of size 3, in an urban area. She considers that God has something to do with what happens to her personally.",163
938,1,1984,6,1,5,5,3,0.0,3,5,0,0,0,2,0,0,0,1,1,0,0,0,0,0,3,187.0,The person is an 18-year-old male who identifies himself as Hispanic. He has been arrested 1 time but has not been convicted.,"The person is an 18-year-old male who identifies himself as Hispanic. He has been arrested 1 time but has not been convicted. He is 5 feet 10 inches and weighs between 175 and 199 lbs. He has never been married and is currently living alone. He has a high school diploma and is enrolled in a 2-year college. He has held 3 jobs during the year. He has not used any drugs in the past four years and has not felt depressed over the past month. At a young age, he lived with both of his biological parents in a household of size 5, in an urban area. He considers that God has nothing to do with what happens to him personally.",178
957,1,1984,9,3,5,5,3,0.0,1,5,0,0,0,2,1,0,1,1,1,0,0,0,0,0,5,170.0,The person is an 18-year-old male who identifies himself as White. He has been arrested 1 time but has not been convicted.,"The person is an 18-year-old male who identifies himself as White. He has been arrested 1 time but has not been convicted. He is 6 feet 0 inches and weighs 170 lbs. He has never been married and is currently living alone. He has a high school diploma and is enrolled in a 2-year college. He has held 1 job during the year. He has used drugs in the past four years (marijuana) and has not felt depressed over the past month. At a young age, he lived with his biological dad in a household of size 5, in an urban area. He considers that God has nothing to do with what happens to him personally.",183
958,1,1980,5,3,5,5,3,1.0,0,5,0,0,0,1,1,0,1,1,1,0,0,0,0,0,5,220.0,The person is a 22-year-old male who identifies himself as White. He has been arrested 1 time but has not been convicted.,"The person is a 22-year-old male who identifies himself as White. He has been arrested 1 time but has not been convicted. He is 5 feet 10 inches and weighs 220 lbs. He has never been married and is currently living alone. He has a high school diploma and is enrolled in a 4-year college. He has held no jobs during the year. He has used drugs in the past four years (marijuana) and most of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived with both of his biological parents in a household of size 5, in an urban area. He considers that God has something to do with what happens to him personally.",178
970,1,1983,1,3,5,5,3,1.0,1,4,0,0,0,3,1,0,1,1,1,0,0,0,0,0,5,135.0,The person is a 19-year-old male who identifies himself as White. He has been arrested 1 time but has not been convicted.,"The person is a 19-year-old male who identifies himself as White. He has been arrested 1 time but has not been convicted. He is 5 feet 10 inches and weighs 135 lbs. He has never been married and is currently living alone. He has a high school diploma and is enrolled in a 4-year college. He has held 1 job during the year. He has used drugs in the past four years (marijuana) and some of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived with both of his biological parents in a household of size 4, in an urban area. He considers that God has nothing to do with what happens to him personally.",178
974,1,1982,10,3,5,5,3,1.0,1,4,0,0,0,2,1,1,1,1,1,1,0,0,1,0,5,190.0,The person is a 20-year-old male who identifies himself as White. He has been arrested 1 time but has not been convicted.,"The person is a 20-year-old male who identifies himself as White. He has been arrested 1 time but has not been convicted. He is 5 feet 11 inches and weighs 190 lbs. He has never been married and is currently living alone. He has a high school diploma and is enrolled in a 4-year college. He has held 1 job during the year. He has used drugs in the past four years (marijuana and cocaine) and has not felt depressed over the past month. At a young age, he lived with both of his biological parents in a household of size 4, in an urban area. He considers that God has something to do with what happens to him personally.",180
980,1,1982,9,3,5,5,3,1.0,4,4,0,0,0,3,1,1,1,1,1,0,0,0,0,0,5,155.0,The person is a 20-year-old male who identifies himself as White. He has been arrested 1 time but has not been convicted.,"The person is a 20-year-old male who identifies himself as White. He has been arrested 1 time but has not been convicted. He is 5 feet 0 inches and weighs 155 lbs. He has never been married and is currently living alone. He has a high school diploma and is enrolled in a 4-year college. He has held 4 jobs during the year. He has used drugs in the past four years (marijuana and cocaine) and some of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived with both of his biological parents in a household of size 4, in an urban area. He considers that God has nothing to do with what happens to him personally.",152
987,1,1983,0,1,5,5,3,6.0,0,3,0,0,0,2,1,1,1,1,2,0,0,1,0,0,3,205.0,The person is a 19-year-old male who identifies himself as Hispanic. He has been arrested 2 times but has not been convicted.,"The person is a 19-year-old male who identifies himself as Hispanic. He has been arrested 2 times but has not been convicted. He is 5 feet 10 inches and weighs 205 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held no jobs during the year. He has used drugs in the past four years (marijuana and cocaine) and has not felt depressed over the past month. At a young age, he lived with his biological mother in a household of size 3, in an urban area. He considers that God has something to do with what happens to him personally.",178
990,1,1981,9,3,5,5,3,6.0,2,6,0,0,0,2,1,0,1,1,1,1,0,0,1,0,5,195.0,The person is a 21-year-old male who identifies himself as White. He has been arrested 1 time but has not been convicted.,"The person is a 21-year-old male who identifies himself as White. He has been arrested 1 time but has not been convicted. He is 6 feet 2 inches and weighs 195 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held 2 jobs during the year. He has used drugs in the past four years (marijuana) and has not felt depressed over the past month. At a young age, he lived in a household of size 6. He considers that God has nothing to do with what happens to him personally.",188
991,1,1980,0,3,1,5,3,6.0,0,2,0,0,0,2,1,0,1,1,2,0,1,0,0,0,1,135.0,The person is a 22-year-old male who identifies himself as Asian / Pacific Islander. He has been arrested 2 times and has been convicted.,"The person is a 22-year-old male who identifies himself as Asian / Pacific Islander. He has been arrested 2 times and has been convicted. He is 5 feet 4 inches and weighs 135 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held no jobs during the year. He has used drugs in the past four years (marijuana) and has not felt depressed over the past month. At a young age, he lived in a household of size 2. He considers that God has something to do with what happens to him personally.",163
992,0,1983,1,3,5,5,3,6.0,2,2,0,0,0,3,1,1,1,1,1,0,1,0,0,0,5,220.0,The person is a 19-year-old female who identifies herself as White. She has been arrested 1 time and has been convicted.,"The person is a 19-year-old female who identifies herself as White. She has been arrested 1 time and has been convicted. She is 5 feet 10 inches and weighs 220 lbs. She has never been married and is currently living alone. She has a high school diploma and is not enrolled in college. She has held 2 jobs during the year. She has used drugs in the past four years (marijuana and cocaine) and some of the time during the past month she has felt so down in the dumps that nothing could cheer her up. At a young age, she lived with her biological mother in a household of size 2, in an urban area. She considers that God has something to do with what happens to her personally.",178
998,1,1982,11,0,2,5,3,6.0,1,4,0,0,0,2,1,0,1,1,1,0,0,0,0,0,2,180.0,The person is a 20-year-old male who identifies himself as Black. He has been arrested 1 time but has not been convicted.,"The person is a 20-year-old male who identifies himself as Black. He has been arrested 1 time but has not been convicted. He is 5 feet 10 inches and weighs 180 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held 1 job during the year. He has used drugs in the past four years (marijuana) and has not felt depressed over the past month. At a young age, he lived with both of his biological parents in a household of size 4, in an urban area. He considers that God has something to do with what happens to him personally.",178
999,1,1982,11,3,5,5,3,6.0,4,4,0,0,0,2,0,0,0,1,4,0,1,0,0,0,5,237.0,The person is a 20-year-old male who identifies himself as White. He has been arrested 4 times and has been convicted.,"The person is a 20-year-old male who identifies himself as White. He has been arrested 4 times and has been convicted. He is 6 feet 0 inches and weighs between 225 and 249 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held 4 jobs during the year. He has not used any drugs in the past four years and has not felt depressed over the past month. At a young age, he lived with both of his biological parents in a household of size 4, in an urban area. He considers that God has nothing to do with what happens to him personally.",183
1018,1,1982,10,3,5,5,3,0.0,2,4,0,0,0,2,1,1,1,1,1,0,1,0,0,0,5,162.0,The person is a 20-year-old male who identifies himself as White. He has been arrested 1 time and has been convicted.,"The person is a 20-year-old male who identifies himself as White. He has been arrested 1 time and has been convicted. He is 5 feet 11 inches and weighs between 150 and 174 lbs. He has never been married and is currently living alone. He has a high school diploma and is enrolled in a 2-year college. He has held 2 jobs during the year. He has used drugs in the past four years (marijuana and cocaine) and has not felt depressed over the past month. At a young age, he lived with his biological mother in a household of size 4, in an urban area. He considers that God has something to do with what happens to him personally.",180
1025,1,1981,2,3,5,5,3,6.0,1,4,0,0,0,3,1,1,1,1,5,0,1,0,0,0,5,210.0,The person is a 21-year-old male who identifies himself as White. He has been arrested 5 times and has been convicted.,"The person is a 21-year-old male who identifies himself as White. He has been arrested 5 times and has been convicted. He is 5 feet 9 inches and weighs 210 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held 1 job during the year. He has used drugs in the past four years (marijuana and cocaine) and some of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived with both of his biological parents in a household of size 4, in an urban area. He considers that God has something to do with what happens to him personally.",175
1058,1,1982,2,0,2,5,2,5.0,1,2,0,0,0,2,0,0,0,1,2,0,1,0,0,0,2,210.0,The person is a 20-year-old male who identifies himself as Black. He has been arrested 2 times and has been convicted.,"The person is a 20-year-old male who identifies himself as Black. He has been arrested 2 times and has been convicted. He is 6 feet 4 inches and weighs 210 lbs. He has never been married and is currently living alone. He has a GED certificate and is not enrolled in college. He has held 1 job during the year. He has not used any drugs in the past four years and has not felt depressed over the past month. At a young age, he lived with his biological mother in a household of size 2, in an urban area. He considers that God has something to do with what happens to him personally.",193
1063,1,1982,11,0,2,5,3,1.0,3,4,0,0,0,2,1,0,1,1,2,1,1,1,1,0,2,185.0,The person is a 20-year-old male who identifies himself as Black. He has been arrested 2 times and has been convicted.,"The person is a 20-year-old male who identifies himself as Black. He has been arrested 2 times and has been convicted. He is 5 feet 9 inches and weighs 185 lbs. He has never been married and is currently living alone. He has a high school diploma and is enrolled in a 4-year college. He has held 3 jobs during the year. He has used drugs in the past four years (marijuana) and has not felt depressed over the past month. At a young age, he lived with his biological mother in a household of size 4. He considers that God has something to do with what happens to him personally.",175
1067,0,1983,4,1,3,4,3,6.0,2,7,0,0,0,2,0,0,0,1,5,0,1,0,0,0,3,117.0,The person is a 19-year-old female who identifies herself as Hispanic. She has been arrested 5 times and has been convicted.,"The person is a 19-year-old female who identifies herself as Hispanic. She has been arrested 5 times and has been convicted. She is 5 feet 4 inches and weighs 117 lbs. She has never been married and is currently not living alone. She has a high school diploma and is not enrolled in college. She has held 2 jobs during the year. She has not used any drugs in the past four years and has not felt depressed over the past month. At a young age, she lived with both of her biological parents in a household of size 7.",163
1100,0,1982,1,0,2,5,3,6.0,2,3,0,0,0,3,1,0,1,1,1,0,0,0,0,0,2,134.0,The person is a 20-year-old female who identifies herself as Black. She has been arrested 1 time but has not been convicted.,"The person is a 20-year-old female who identifies herself as Black. She has been arrested 1 time but has not been convicted. She is 5 feet 4 inches and weighs 134 lbs. She has never been married and is currently living alone. She has a high school diploma and is not enrolled in college. She has held 2 jobs during the year. She has used drugs in the past four years (marijuana) and some of the time during the past month she has felt so down in the dumps that nothing could cheer her up. At a young age, she lived with her biological mother in a household of size 3, in an urban area. She considers that God has something to do with what happens to her personally.",163
1108,1,1983,7,2,4,5,3,1.0,1,4,0,0,0,2,1,0,1,1,1,0,0,0,0,0,4,240.0,The person is a 19-year-old male who identifies himself as mixed race. He has been arrested 1 time but has not been convicted.,"The person is a 19-year-old male who identifies himself as mixed race. He has been arrested 1 time but has not been convicted. He is 5 feet 11 inches and weighs 240 lbs. He has never been married and is currently living alone. He has a high school diploma and is enrolled in a 4-year college. He has held 1 job during the year. He has used drugs in the past four years (marijuana) and has not felt depressed over the past month. At a young age, he lived with his biological mother in a household of size 4, in an urban area. He considers that God has something to do with what happens to him personally.",180
1118,0,1980,1,3,5,5,1,4.0,4,4,0,0,0,3,1,1,1,1,1,0,0,0,0,0,5,155.0,The person is a 22-year-old female who identifies herself as White. She has been arrested 1 time but has not been convicted.,"The person is a 22-year-old female who identifies herself as White. She has been arrested 1 time but has not been convicted. She is 5 feet 7 inches and weighs 155 lbs. She has never been married and is currently living alone. She has completed a Bachelor's degree and is not enrolled in college. She has held 4 jobs during the year. She has used drugs in the past four years (marijuana and cocaine) and some of the time during the past month she has felt so down in the dumps that nothing could cheer her up. At a young age, she lived with both of her biological parents in a household of size 4, in an urban area. She considers that God has nothing to do with what happens to her personally.",170
1155,1,1982,10,3,5,5,3,1.0,3,4,0,0,0,2,1,1,1,1,2,0,0,0,0,0,5,215.0,The person is a 20-year-old male who identifies himself as White. He has been arrested 2 times but has not been convicted.,"The person is a 20-year-old male who identifies himself as White. He has been arrested 2 times but has not been convicted. He is 6 feet 2 inches and weighs 215 lbs. He has never been married and is currently living alone. He has a high school diploma and is enrolled in a 4-year college. He has held 3 jobs during the year. He has used drugs in the past four years (marijuana and cocaine) and has not felt depressed over the past month. At a young age, he lived with both of his biological parents in a household of size 4, in an urban area. He considers that God has nothing to do with what happens to him personally.",188
1166,0,1980,0,3,5,5,3,7.0,5,3,0,0,0,2,1,1,1,1,2,0,1,0,0,0,5,135.0,The person is a 22-year-old female who identifies herself as White. She has been arrested 2 times and has been convicted.,"The person is a 22-year-old female who identifies herself as White. She has been arrested 2 times and has been convicted. She is 5 feet 7 inches and weighs 135 lbs. She has never been married and is currently living alone. She has a high school diploma and is not enrolled in college. She has held 5 jobs during the year. She has used drugs in the past four years (marijuana and cocaine) and has not felt depressed over the past month. At a young age, she lived in a household of size 3. She considers that God has something to do with what happens to her personally.",170
1167,1,1980,0,3,5,5,3,0.0,2,6,0,1,0,2,1,1,1,1,1,0,1,0,0,0,5,170.0,The person is a 22-year-old male who identifies himself as White. He has been arrested 1 time and has been convicted.,"The person is a 22-year-old male who identifies himself as White. He has been arrested 1 time and has been convicted. He is 5 feet 10 inches and weighs 170 lbs. He has never been married and is currently living alone. He has a high school diploma and is enrolled in a 2-year college. He has held 2 jobs during the year. He has used drugs in the past four years (marijuana and cocaine) and has not felt depressed over the past month. At a young age, he lived with both of his biological parents in a household of size 6, in an urban area. He considers that God has something to do with what happens to him personally.",178
1168,1,1981,5,3,5,5,2,5.0,0,6,0,0,0,3,1,1,1,1,1,0,1,0,0,0,5,185.0,The person is a 21-year-old male who identifies himself as White. He has been arrested 1 time and has been convicted.,"The person is a 21-year-old male who identifies himself as White. He has been arrested 1 time and has been convicted. He is 5 feet 9 inches and weighs 185 lbs. He has never been married and is currently living alone. He has a GED certificate and is not enrolled in college. He has held no jobs during the year. He has used drugs in the past four years (marijuana and cocaine) and some of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived with both of his biological parents in a household of size 6, in an urban area. He considers that God has nothing to do with what happens to him personally.",175
1183,1,1982,4,3,5,5,3,6.0,4,5,0,0,0,2,0,0,0,1,1,0,1,0,0,0,5,170.0,The person is a 20-year-old male who identifies himself as White. He has been arrested 1 time and has been convicted.,"The person is a 20-year-old male who identifies himself as White. He has been arrested 1 time and has been convicted. He is 6 feet 11 inches and weighs 170 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held 4 jobs during the year. He has not used any drugs in the past four years and has not felt depressed over the past month. At a young age, he lived with both of his biological parents in a household of size 5, in an urban area. He considers that God has something to do with what happens to him personally.",211
1184,1,1980,5,1,5,5,3,6.0,1,3,0,0,0,2,1,0,1,1,6,0,1,0,0,0,3,187.0,The person is a 22-year-old male who identifies himself as Hispanic. He has been arrested 6 times and has been convicted.,"The person is a 22-year-old male who identifies himself as Hispanic. He has been arrested 6 times and has been convicted. He is 5 feet 8 inches and weighs between 175 and 199 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held 1 job during the year. He has used drugs in the past four years (marijuana) and has not felt depressed over the past month. At a young age, he lived with his biological mother in a household of size 3, in an urban area. He considers that God has something to do with what happens to him personally.",173
1185,1,1983,4,1,5,5,3,6.0,3,3,0,1,0,3,1,1,1,1,1,0,1,0,0,0,3,162.0,The person is a 19-year-old male who identifies himself as Hispanic. He has been arrested 1 time and has been convicted.,"The person is a 19-year-old male who identifies himself as Hispanic. He has been arrested 1 time and has been convicted. He is 5 feet 6 inches and weighs between 150 and 174 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held 3 jobs during the year. He has used drugs in the past four years (marijuana and cocaine) and some of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived with his biological mother in a household of size 3, in an urban area. He considers that God has nothing to do with what happens to him personally.",168
1200,0,1980,7,3,5,1,2,5.0,1,5,0,0,0,2,1,0,1,1,1,0,0,0,0,0,5,162.0,The person is a 22-year-old female who identifies herself as White. She has been arrested 1 time but has not been convicted.,"The person is a 22-year-old female who identifies herself as White. She has been arrested 1 time but has not been convicted. She is 5 feet 5 inches and weighs between 150 and 174 lbs. She is divorced and is currently living alone. She has a GED certificate and is not enrolled in college. She has held 1 job during the year. She has used drugs in the past four years (marijuana) and has not felt depressed over the past month. At a young age, she lived with her biological mother in a household of size 5, in an urban area. She considers that God has something to do with what happens to her personally.",165
1201,1,1984,1,3,5,4,2,7.0,1,5,0,0,0,2,1,0,1,1,2,0,1,0,0,0,5,165.0,The person is an 18-year-old male who identifies himself as White. He has been arrested 2 times and has been convicted.,"The person is an 18-year-old male who identifies himself as White. He has been arrested 2 times and has been convicted. He is 5 feet 11 inches and weighs 165 lbs. He has never been married and is currently not living alone. He has a GED certificate and is not enrolled in college. He has held 1 job during the year. He has used drugs in the past four years (marijuana) and has not felt depressed over the past month. At a young age, he lived with his biological mother in a household of size 5, in an urban area. He considers that God has something to do with what happens to him personally.",180
1202,1,1981,2,0,2,5,3,6.0,2,4,0,0,0,2,1,0,1,1,2,0,1,0,0,0,2,165.0,The person is a 21-year-old male who identifies himself as Black. He has been arrested 2 times and has been convicted.,"The person is a 21-year-old male who identifies himself as Black. He has been arrested 2 times and has been convicted. He is 6 feet 2 inches and weighs 165 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held 2 jobs during the year. He has used drugs in the past four years (marijuana) and has not felt depressed over the past month. At a young age, he lived with his biological mother in a household of size 4, in an urban area. He considers that God has something to do with what happens to him personally.",188
1208,1,1982,7,0,2,5,3,1.0,1,5,0,0,0,2,0,0,0,1,2,0,0,0,0,0,2,145.0,The person is a 20-year-old male who identifies himself as Black. He has been arrested 2 times but has not been convicted.,"The person is a 20-year-old male who identifies himself as Black. He has been arrested 2 times but has not been convicted. He is 5 feet 9 inches and weighs 145 lbs. He has never been married and is currently living alone. He has a high school diploma and is enrolled in a 4-year college. He has held 1 job during the year. He has not used any drugs in the past four years and has not felt depressed over the past month. At a young age, he lived with his biological mother in a household of size 5. He considers that God has something to do with what happens to him personally.",175
1223,0,1980,5,0,2,4,3,7.0,2,3,0,0,0,2,1,0,1,1,1,0,1,0,0,0,2,162.0,The person is a 22-year-old female who identifies herself as Black. She has been arrested 1 time and has been convicted.,"The person is a 22-year-old female who identifies herself as Black. She has been arrested 1 time and has been convicted. She is 5 feet 2 inches and weighs between 150 and 174 lbs. She has never been married and is currently not living alone. She has a high school diploma and is not enrolled in college. She has held 2 jobs during the year. She has used drugs in the past four years (marijuana) and has not felt depressed over the past month. At a young age, she lived with her biological mother in a household of size 3, in an urban area. She considers that God has something to do with what happens to her personally.",157
1240,1,1982,11,3,5,5,3,1.0,2,4,0,0,0,2,1,0,1,1,1,1,0,1,1,0,5,160.0,The person is a 20-year-old male who identifies himself as White. He has been arrested 1 time but has not been convicted.,"The person is a 20-year-old male who identifies himself as White. He has been arrested 1 time but has not been convicted. He is 5 feet 8 inches and weighs 160 lbs. He has never been married and is currently living alone. He has a high school diploma and is enrolled in a 4-year college. He has held 2 jobs during the year. He has used drugs in the past four years (marijuana) and has not felt depressed over the past month. At a young age, he lived with both of his biological parents in a household of size 4, in an urban area. He considers that God has nothing to do with what happens to him personally.",173
1261,1,1981,6,3,5,3,3,7.0,2,6,0,0,0,2,0,0,0,1,1,0,0,0,0,0,5,135.0,The person is a 21-year-old male who identifies himself as White. He has been arrested 1 time but has not been convicted.,"The person is a 21-year-old male who identifies himself as White. He has been arrested 1 time but has not been convicted. He is 6 feet 0 inches and weighs 135 lbs. He is married and is currently living with his spouse. He has a high school diploma and is not enrolled in college. He has held 2 jobs during the year. He has not used any drugs in the past four years and has not felt depressed over the past month. At a young age, he lived with both of his biological parents in a household of size 6, in an urban area. He considers that God has something to do with what happens to him personally.",183
1266,0,1983,8,3,5,5,3,7.0,4,4,0,0,0,3,1,1,1,1,1,1,1,1,1,0,5,135.0,The person is a 19-year-old female who identifies herself as White. She has been arrested 1 time and has been convicted.,"The person is a 19-year-old female who identifies herself as White. She has been arrested 1 time and has been convicted. She is 5 feet 9 inches and weighs 135 lbs. She has never been married and is currently living alone. She has a high school diploma and is not enrolled in college. She has held 4 jobs during the year. She has used drugs in the past four years (marijuana and cocaine) and some of the time during the past month she has felt so down in the dumps that nothing could cheer her up. At a young age, she lived in a household of size 4. She considers that God has something to do with what happens to her personally.",175
1270,1,1981,10,3,5,5,3,1.0,1,4,0,0,0,2,0,0,0,1,1,0,1,0,0,0,5,162.0,The person is a 21-year-old male who identifies himself as White. He has been arrested 1 time and has been convicted.,"The person is a 21-year-old male who identifies himself as White. He has been arrested 1 time and has been convicted. He is 5 feet 3 inches and weighs between 150 and 174 lbs. He has never been married and is currently living alone. He has a high school diploma and is enrolled in a 4-year college. He has held 1 job during the year. He has not used any drugs in the past four years and has not felt depressed over the past month. At a young age, he lived with both of his biological parents in a household of size 4, in an urban area. He considers that God has something to do with what happens to him personally.",160
1284,1,1981,4,3,5,5,2,7.0,2,6,0,0,0,3,0,0,0,1,3,1,0,0,1,0,5,185.0,The person is a 21-year-old male who identifies himself as White. He has been arrested 3 times but has not been convicted.,"The person is a 21-year-old male who identifies himself as White. He has been arrested 3 times but has not been convicted. He is 6 feet 4 inches and weighs 185 lbs. He has never been married and is currently living alone. He has a GED certificate and is not enrolled in college. He has held 2 jobs during the year. He has not used any drugs in the past four years and some of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived with both of his biological parents in a household of size 6, in an urban area. He considers that God has nothing to do with what happens to him personally.",193
1310,1,1981,3,3,5,5,2,1.0,0,3,0,0,0,2,1,0,1,1,1,0,1,1,0,0,5,155.0,The person is a 21-year-old male who identifies himself as White. He has been arrested 1 time and has been convicted.,"The person is a 21-year-old male who identifies himself as White. He has been arrested 1 time and has been convicted. He is 6 feet 1 inch and weighs 155 lbs. He has never been married and is currently living alone. He has a GED certificate and is enrolled in a 4-year college. He has held no jobs during the year. He has used drugs in the past four years (marijuana) and has not felt depressed over the past month. At a young age, he lived with his biological mother in a household of size 3. He considers that God has nothing to do with what happens to him personally.",185
1327,0,1981,11,3,5,5,3,6.0,0,4,0,0,0,3,0,0,0,1,2,0,0,0,0,0,5,110.0,The person is a 21-year-old female who identifies herself as White. She has been arrested 2 times but has not been convicted.,"The person is a 21-year-old female who identifies herself as White. She has been arrested 2 times but has not been convicted. She is 5 feet 4 inches and weighs 110 lbs. She has never been married and is currently living alone. She has a high school diploma and is not enrolled in college. She has held no jobs during the year. She has not used any drugs in the past four years and some of the time during the past month she has felt so down in the dumps that nothing could cheer her up. At a young age, she lived with her biological mother in a household of size 4, in an urban area. She considers that God has nothing to do with what happens to her personally.",163
1339,1,1981,2,3,5,5,3,7.0,2,4,0,0,0,2,1,0,1,1,3,0,1,0,0,0,5,210.0,The person is a 21-year-old male who identifies himself as White. He has been arrested 3 times and has been convicted.,"The person is a 21-year-old male who identifies himself as White. He has been arrested 3 times and has been convicted. He is 6 feet 0 inches and weighs 210 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held 2 jobs during the year. He has used drugs in the past four years (marijuana) and has not felt depressed over the past month. At a young age, he lived with both of his biological parents in a household of size 4, in an urban area. He considers that God has something to do with what happens to him personally.",183
